"","Project_ID","Species","Strain","Substrain","bacterial_accession_in_study","bacterial_accession_for_analysis","bacterial_accession_comment","phage_accesion_in_study","phage_accession_for_analysis","phage_accession_comment"
"1","PRJNA323606.3","Mycolicibacterium smegmatis","MC2 155","NA","GCF_000015005.1","GCF_000015005.1",NA,"GCF_000904695.1,GCF_000920155.1,GCF_000917275.1,GCF_001755245.1,GCF_001754805.1,GCF_000916655.1,GCF_001755665.1,GCA_002757575.1","GCF_000917275.1",NA
"2","PRJNA323606.4","Mycolicibacterium smegmatis","MC2 155","NA","GCF_000015005.1","GCF_000015005.1",NA,"GCF_000904695.1,GCF_000920155.1,GCF_000917275.1,GCF_001755245.1,GCF_001754805.1,GCF_000916655.1,GCF_001755665.1,GCA_002757575.1","GCF_001755245.1",NA
"3","PRJNA323606.5","Mycolicibacterium smegmatis","MC2 155","NA","GCF_000015005.1","GCF_000015005.1",NA,"GCF_000904695.1,GCF_000920155.1,GCF_000917275.1,GCF_001755245.1,GCF_001754805.1,GCF_000916655.1,GCF_001755665.1,GCA_002757575.1","GCF_001754805.1",NA
"4","PRJNA323606.6","Mycolicibacterium smegmatis","MC2 155","NA","GCF_000015005.1","GCF_000015005.1",NA,"GCF_000904695.1,GCF_000920155.1,GCF_000917275.1,GCF_001755245.1,GCF_001754805.1,GCF_000916655.1,GCF_001755665.1,GCA_002757575.1","GCF_000916655.1",NA
"5","PRJNA323606.7","Mycolicibacterium smegmatis","MC2 155","NA","GCF_000015005.1","GCF_000015005.1",NA,"GCF_000904695.1,GCF_000920155.1,GCF_000917275.1,GCF_001755245.1,GCF_001754805.1,GCF_000916655.1,GCF_001755665.1,GCA_002757575.1","GCF_001755665.1",NA
"6","PRJNA323606.8","Mycolicibacterium smegmatis","MC2 155","NA","GCF_000015005.1","GCF_000015005.1",NA,"GCF_000904695.1,GCF_000920155.1,GCF_000917275.1,GCF_001755245.1,GCF_001754805.1,GCF_000916655.1,GCF_001755665.1,GCA_002757575.1","GCA_002757575.1",NA
"7","PRJDB12232.4","Thermus thermophilus","HB8","NA","GCF_000091545.1","GCF_000091545.1",NA,"GCA_002621045.1,GCF_002621025.1,GCF_000869585.1, GCF_000091545.1","GCF_000091545.1",NA
"8","PRJNA430510.2","Pseudomonas aeruginosa","?","NA","GCF_000006765.1","GCF_000006765.1","PAO1","NA","GCF_000871365.1",NA
"9","PRJNA430510.3","Pseudomonas aeruginosa","?","NA","GCF_000006765.1","GCF_000006765.1","PAO1","NA","GCF_001745375.1",NA
"10","PRJNA430510.4","Pseudomonas aeruginosa","?","NA","GCF_000006765.1","GCF_000006765.1","PAO1","NA","GCF_000880975.1",NA
