Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR317698,RNA-Seq,101,904483987,PRJDB12232,SAMD00402025,266496037,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307054,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiOH16,ILLUMINA,2023-08-31T00:00:00Z,2023-09-17T07:35:00Z,1,SAMD00402025,16_0M1,DRP010465
DRR317699,RNA-Seq,101,862879966,PRJDB12232,SAMD00402026,253707064,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307055,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiOH16,ILLUMINA,2023-08-31T00:00:00Z,2023-09-17T07:37:00Z,1,SAMD00402026,16_0M2,DRP010465
DRR317700,RNA-Seq,101,1350214258,PRJDB12232,SAMD00402027,395599112,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307056,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiOH16,ILLUMINA,2023-08-31T00:00:00Z,2023-09-17T07:37:00Z,1,SAMD00402027,16_10M1,DRP010465
DRR317701,RNA-Seq,101,1200680021,PRJDB12232,SAMD00402028,348737118,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307057,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiOH16,ILLUMINA,2023-08-31T00:00:00Z,2023-09-17T07:35:00Z,1,SAMD00402028,16_10M2,DRP010465
DRR317702,RNA-Seq,101,1821140898,PRJDB12232,SAMD00402029,530917875,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307058,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiOH16,ILLUMINA,2023-08-31T00:00:00Z,2023-09-17T07:36:00Z,1,SAMD00402029,16_20M1,DRP010465
DRR317703,RNA-Seq,101,584805453,PRJDB12232,SAMD00402030,172534495,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307059,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiOH16,ILLUMINA,2023-08-31T00:00:00Z,2023-09-17T07:36:00Z,1,SAMD00402030,16_20M2,DRP010465
DRR317704,RNA-Seq,101,1072487488,PRJDB12232,SAMD00402031,314643757,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307060,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiOH16,ILLUMINA,2023-08-31T00:00:00Z,2023-09-17T07:36:00Z,1,SAMD00402031,16_30M1,DRP010465
DRR317705,RNA-Seq,101,938575022,PRJDB12232,SAMD00402032,276410522,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307061,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiOH16,ILLUMINA,2023-08-31T00:00:00Z,2023-09-17T07:37:00Z,1,SAMD00402032,16_30M2,DRP010465
DRR317706,RNA-Seq,101,549953989,PRJDB12232,SAMD00402033,162445742,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307062,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiOH16,ILLUMINA,2023-08-31T00:00:00Z,2023-09-17T07:37:00Z,1,SAMD00402033,16_40M1,DRP010465
DRR317711,RNA-Seq,101,760452937,PRJDB12232,SAMD00402099,223821966,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307067,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage phiOH16,ILLUMINA,2023-08-31T00:00:00Z,2023-09-17T07:35:00Z,1,SAMD00402099,16_60M2,DRP010465
