Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR318270,RNA-Seq,101,653025398,PRJDB12232,SAMD00402060,183415517,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307626,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage OH3,ILLUMINA,2023-09-07T00:00:00Z,2023-09-17T13:58:00Z,1,SAMD00402060,3_0M1,DRP010465
DRR318271,RNA-Seq,101,1510895360,PRJDB12232,SAMD00402061,421933026,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307627,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage OH3,ILLUMINA,2023-09-07T00:00:00Z,2023-09-17T14:00:00Z,1,SAMD00402061,3_0M2,DRP010465
DRR318272,RNA-Seq,101,607138573,PRJDB12232,SAMD00402062,169781905,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307628,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage OH3,ILLUMINA,2023-09-07T00:00:00Z,2023-09-17T13:57:00Z,1,SAMD00402062,3_10M1,DRP010465
DRR318273,RNA-Seq,101,1089314795,PRJDB12232,SAMD00402063,306538078,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307629,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage OH3,ILLUMINA,2023-09-07T00:00:00Z,2023-09-17T13:58:00Z,1,SAMD00402063,3_10M2,DRP010465
DRR318274,RNA-Seq,101,476709193,PRJDB12232,SAMD00402064,133088371,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307630,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage OH3,ILLUMINA,2023-09-07T00:00:00Z,2023-09-17T13:59:00Z,1,SAMD00402064,3_20M1,DRP010465
DRR318275,RNA-Seq,101,884614459,PRJDB12232,SAMD00402065,247016886,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307631,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage OH3,ILLUMINA,2023-09-07T00:00:00Z,2023-09-17T13:53:00Z,1,SAMD00402065,3_20M2,DRP010465
DRR318276,RNA-Seq,101,1163860370,PRJDB12232,SAMD00402066,325119163,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307632,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage OH3,ILLUMINA,2023-09-07T00:00:00Z,2023-09-17T13:57:00Z,1,SAMD00402066,3_30M1,DRP010465
DRR318277,RNA-Seq,101,1117031720,PRJDB12232,SAMD00402067,312338754,KYUSHU,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307633,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage OH3,ILLUMINA,2023-09-07T00:00:00Z,2023-09-17T14:01:00Z,1,SAMD00402067,3_30M2,DRP010465
DRR318278,RNA-Seq,101,1200218148,PRJDB12232,SAMD00402068,335006686,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307634,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage OH3,ILLUMINA,2023-09-07T00:00:00Z,2023-09-17T13:58:00Z,1,SAMD00402068,3_40M1,DRP010465
DRR318279,RNA-Seq,101,875596876,PRJDB12232,SAMD00402069,244591372,KYUSHU,public,sra,"gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX307635,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Thermus phage OH3,ILLUMINA,2023-09-07T00:00:00Z,2023-09-17T13:56:00Z,1,SAMD00402069,3_40M2,DRP010465
