Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,Experimental_Factor:_infect (exp),Experimental_Factor:_time (exp),external_id,growth_condition,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism_part,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id
ERR3680689,RNA-Seq,302,10352163776,PRJEB35542,SAMEA6245502,ArrayExpress,3278227345,"University of Colorado Anschutz Genomics and Microarray Core ",public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2019-12-05,2019-12-05T04:03:09Z,2019-11-25,2019-11-25T14:48:46Z,ERX3670305,none,0,SAMEA6245502,wild type genotype,"University of Colorado Denver\, Anschutz Medical School",2019-12-05T04:03:09Z,2019-11-25T14:48:46Z,public,Illumina NovaSeq 6000,Untreated_0min_p,PAIRED,other,TRANSCRIPTOMIC,whole organism,Enterococcus faecalis OG1RF,ILLUMINA,2019-12-06T00:00:00Z,2022-07-21T21:24:00Z,2,SAMEA6245502,E-MTAB-8546:Untreated_0min,Enterococcus faecalis OG1RF,ERP118603,E-MTAB-8546:Untreated_0min
ERR3680690,RNA-Seq,302,10951769374,PRJEB35542,SAMEA6245503,ArrayExpress,3476605683,"University of Colorado Anschutz Genomics and Microarray Core ",public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2019-12-05,2019-12-05T04:03:09Z,2019-11-25,2019-11-25T14:48:46Z,ERX3670306,none,10,SAMEA6245503,wild type genotype,"University of Colorado Denver\, Anschutz Medical School",2019-12-05T04:03:09Z,2019-11-25T14:48:46Z,public,Illumina NovaSeq 6000,Untreated_10min_p,PAIRED,other,TRANSCRIPTOMIC,whole organism,Enterococcus faecalis OG1RF,ILLUMINA,2019-12-06T00:00:00Z,2022-07-24T12:40:00Z,2,SAMEA6245503,E-MTAB-8546:Untreated_10min,Enterococcus faecalis OG1RF,ERP118603,E-MTAB-8546:Untreated_10min
ERR3680691,RNA-Seq,302,9959844938,PRJEB35542,SAMEA6245504,ArrayExpress,3153927545,"University of Colorado Anschutz Genomics and Microarray Core ",public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2019-12-05,2019-12-05T04:03:09Z,2019-11-25,2019-11-25T14:48:46Z,ERX3670307,none,20,SAMEA6245504,wild type genotype,"University of Colorado Denver\, Anschutz Medical School",2019-12-05T04:03:09Z,2019-11-25T14:48:46Z,public,Illumina NovaSeq 6000,Untreated_20min_p,PAIRED,other,TRANSCRIPTOMIC,whole organism,Enterococcus faecalis OG1RF,ILLUMINA,2019-12-06T00:00:00Z,2022-07-15T19:16:00Z,2,SAMEA6245504,E-MTAB-8546:Untreated_20min,Enterococcus faecalis OG1RF,ERP118603,E-MTAB-8546:Untreated_20min
ERR3680692,RNA-Seq,302,9851848530,PRJEB35542,SAMEA6245505,ArrayExpress,3105697239,"University of Colorado Anschutz Genomics and Microarray Core ",public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2019-12-05,2019-12-05T04:03:09Z,2019-11-25,2019-11-25T14:48:46Z,ERX3670308,none,40,SAMEA6245505,wild type genotype,"University of Colorado Denver\, Anschutz Medical School",2019-12-05T04:03:09Z,2019-11-25T14:48:46Z,public,Illumina NovaSeq 6000,Untreated_40min_p,PAIRED,other,TRANSCRIPTOMIC,whole organism,Enterococcus faecalis OG1RF,ILLUMINA,2019-12-06T00:00:00Z,2022-07-12T19:38:00Z,2,SAMEA6245505,E-MTAB-8546:Untreated_40min,Enterococcus faecalis OG1RF,ERP118603,E-MTAB-8546:Untreated_40min
ERR3680693,RNA-Seq,302,9345757836,PRJEB35542,SAMEA6245506,ArrayExpress,2962615886,"University of Colorado Anschutz Genomics and Microarray Core ",public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2019-12-05,2019-12-05T04:03:09Z,2019-11-25,2019-11-25T14:48:46Z,ERX3670309,Enterococcus phage VPE25,0,SAMEA6245506,wild type genotype,"University of Colorado Denver\, Anschutz Medical School",2019-12-05T04:03:09Z,2019-11-25T14:48:46Z,public,Illumina NovaSeq 6000,VPE25_S1_0min_p,PAIRED,other,TRANSCRIPTOMIC,whole organism,Enterococcus faecalis OG1RF,ILLUMINA,2019-12-06T00:00:00Z,2022-07-23T02:21:00Z,2,SAMEA6245506,E-MTAB-8546:VPE25_S1_0min,Enterococcus faecalis OG1RF,ERP118603,E-MTAB-8546:VPE25_S1_0min
ERR3680694,RNA-Seq,302,11812829962,PRJEB35542,SAMEA6245507,ArrayExpress,3763701587,"University of Colorado Anschutz Genomics and Microarray Core ",public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2019-12-05,2019-12-05T04:03:09Z,2019-11-25,2019-11-25T14:48:46Z,ERX3670310,Enterococcus phage VPE25,10,SAMEA6245507,wild type genotype,"University of Colorado Denver\, Anschutz Medical School",2019-12-05T04:03:09Z,2019-11-25T14:48:46Z,public,Illumina NovaSeq 6000,VPE25_S1_10min_p,PAIRED,other,TRANSCRIPTOMIC,whole organism,Enterococcus faecalis OG1RF,ILLUMINA,2019-12-06T00:00:00Z,2022-07-16T00:01:00Z,2,SAMEA6245507,E-MTAB-8546:VPE25_S1_10min,Enterococcus faecalis OG1RF,ERP118603,E-MTAB-8546:VPE25_S1_10min
ERR3680695,RNA-Seq,302,12642918034,PRJEB35542,SAMEA6245508,ArrayExpress,4012439270,"University of Colorado Anschutz Genomics and Microarray Core ",public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2019-12-05,2019-12-05T04:03:09Z,2019-11-25,2019-11-25T14:48:46Z,ERX3670311,Enterococcus phage VPE25,20,SAMEA6245508,wild type genotype,"University of Colorado Denver\, Anschutz Medical School",2019-12-05T04:03:09Z,2019-11-25T14:48:46Z,public,Illumina NovaSeq 6000,VPE25_S1_20min_p,PAIRED,other,TRANSCRIPTOMIC,whole organism,Enterococcus faecalis OG1RF,ILLUMINA,2019-12-06T00:00:00Z,2022-07-24T12:45:00Z,2,SAMEA6245508,E-MTAB-8546:VPE25_S1_20min,Enterococcus faecalis OG1RF,ERP118603,E-MTAB-8546:VPE25_S1_20min
ERR3680696,RNA-Seq,302,11361917386,PRJEB35542,SAMEA6245509,ArrayExpress,3596929728,"University of Colorado Anschutz Genomics and Microarray Core ",public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2019-12-05,2019-12-05T04:03:09Z,2019-11-25,2019-11-25T14:48:46Z,ERX3670312,Enterococcus phage VPE25,40,SAMEA6245509,wild type genotype,"University of Colorado Denver\, Anschutz Medical School",2019-12-05T04:03:09Z,2019-11-25T14:48:46Z,public,Illumina NovaSeq 6000,VPE25_S1_40min_p,PAIRED,other,TRANSCRIPTOMIC,whole organism,Enterococcus faecalis OG1RF,ILLUMINA,2019-12-06T00:00:00Z,2022-07-24T12:47:00Z,2,SAMEA6245509,E-MTAB-8546:VPE25_S1_40min,Enterococcus faecalis OG1RF,ERP118603,E-MTAB-8546:VPE25_S1_40min
ERR3680697,RNA-Seq,302,9282980492,PRJEB35542,SAMEA6245510,ArrayExpress,2938072998,"University of Colorado Anschutz Genomics and Microarray Core ",public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2019-12-05,2019-12-05T04:03:09Z,2019-11-25,2019-11-25T14:48:46Z,ERX3670313,Enterococcus phage VPE25,0,SAMEA6245510,wild type genotype,"University of Colorado Denver\, Anschutz Medical School",2019-12-05T04:03:09Z,2019-11-25T14:48:46Z,public,Illumina NovaSeq 6000,VPE25_S2_0min_p,PAIRED,other,TRANSCRIPTOMIC,whole organism,Enterococcus faecalis OG1RF,ILLUMINA,2019-12-06T00:00:00Z,2022-07-16T00:00:00Z,2,SAMEA6245510,E-MTAB-8546:VPE25_S2_0min,Enterococcus faecalis OG1RF,ERP118603,E-MTAB-8546:VPE25_S2_0min
ERR3680698,RNA-Seq,302,10216306962,PRJEB35542,SAMEA6245511,ArrayExpress,3214259205,"University of Colorado Anschutz Genomics and Microarray Core ",public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2019-12-05,2019-12-05T04:03:09Z,2019-11-25,2019-11-25T14:48:46Z,ERX3670314,Enterococcus phage VPE25,10,SAMEA6245511,wild type genotype,"University of Colorado Denver\, Anschutz Medical School",2019-12-05T04:03:09Z,2019-11-25T14:48:46Z,public,Illumina NovaSeq 6000,VPE25_S2_10min_p,PAIRED,other,TRANSCRIPTOMIC,whole organism,Enterococcus faecalis OG1RF,ILLUMINA,2019-12-06T00:00:00Z,2022-07-23T01:47:00Z,2,SAMEA6245511,E-MTAB-8546:VPE25_S2_10min,Enterococcus faecalis OG1RF,ERP118603,E-MTAB-8546:VPE25_S2_10min
