Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,HOST,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR26321350,RNA-Seq,300,4273935000,PRJNA1025116,SAMN37713808,Pathogen.cl,1402066507,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,Qian Chen,2019-01-01,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX22029462,China,Asia,China: Shanghai,periodontal disease,Homo sapiens,Illumina NovaSeq 6000,saliva,Oral saliva sample of a patient with periodontal disease,31.05 N 121.19 E,B-120-2,PAIRED,cDNA,TRANSCRIPTOMIC,Fusobacterium nucleatum,ILLUMINA,2023-12-31T00:00:00Z,2023-10-11T15:23:00Z,1,Phage-infected JD-Fnp4,SRP465130,JD-Fn1
SRR26321351,RNA-Seq,300,3503593200,PRJNA1025116,SAMN37713808,Pathogen.cl,1151068750,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,Qian Chen,2019-01-01,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX22029461,China,Asia,China: Shanghai,periodontal disease,Homo sapiens,Illumina NovaSeq 6000,saliva,Oral saliva sample of a patient with periodontal disease,31.05 N 121.19 E,B-120-1,PAIRED,cDNA,TRANSCRIPTOMIC,Fusobacterium nucleatum,ILLUMINA,2023-12-31T00:00:00Z,2023-10-11T15:23:00Z,1,Phage-infected JD-Fnp4,SRP465130,JD-Fn1
SRR26321352,RNA-Seq,300,3139479000,PRJNA1025116,SAMN37713808,Pathogen.cl,1016707412,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,Qian Chen,2019-01-01,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX22029460,China,Asia,China: Shanghai,periodontal disease,Homo sapiens,Illumina NovaSeq 6000,saliva,Oral saliva sample of a patient with periodontal disease,31.05 N 121.19 E,B-30-2,PAIRED,cDNA,TRANSCRIPTOMIC,Fusobacterium nucleatum,ILLUMINA,2023-12-31T00:00:00Z,2023-10-11T15:22:00Z,1,Phage-infected JD-Fnp4,SRP465130,JD-Fn1
SRR26321353,RNA-Seq,300,2961996000,PRJNA1025116,SAMN37713808,Pathogen.cl,962352914,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,Qian Chen,2019-01-01,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX22029459,China,Asia,China: Shanghai,periodontal disease,Homo sapiens,Illumina NovaSeq 6000,saliva,Oral saliva sample of a patient with periodontal disease,31.05 N 121.19 E,B-30-1,PAIRED,cDNA,TRANSCRIPTOMIC,Fusobacterium nucleatum,ILLUMINA,2023-12-31T00:00:00Z,2023-10-11T15:23:00Z,1,Phage-infected JD-Fnp4,SRP465130,JD-Fn1
SRR26321354,RNA-Seq,300,3147230700,PRJNA1025116,SAMN37713808,Pathogen.cl,1027640916,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,Qian Chen,2019-01-01,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX22029458,China,Asia,China: Shanghai,periodontal disease,Homo sapiens,Illumina NovaSeq 6000,saliva,Oral saliva sample of a patient with periodontal disease,31.05 N 121.19 E,B-10-2,PAIRED,cDNA,TRANSCRIPTOMIC,Fusobacterium nucleatum,ILLUMINA,2023-12-31T00:00:00Z,2023-10-11T15:23:00Z,1,Phage-infected JD-Fnp4,SRP465130,JD-Fn1
SRR26321355,RNA-Seq,300,2295793500,PRJNA1025116,SAMN37713808,Pathogen.cl,747037640,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,Qian Chen,2019-01-01,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX22029457,China,Asia,China: Shanghai,periodontal disease,Homo sapiens,Illumina NovaSeq 6000,saliva,Oral saliva sample of a patient with periodontal disease,31.05 N 121.19 E,B-10-1,PAIRED,cDNA,TRANSCRIPTOMIC,Fusobacterium nucleatum,ILLUMINA,2023-12-31T00:00:00Z,2023-10-11T15:22:00Z,1,Phage-infected JD-Fnp4,SRP465130,JD-Fn1
SRR26321356,RNA-Seq,300,2908039800,PRJNA1025116,SAMN37713808,Pathogen.cl,931298294,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,Qian Chen,2019-01-01,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX22029456,China,Asia,China: Shanghai,periodontal disease,Homo sapiens,Illumina NovaSeq 6000,saliva,Oral saliva sample of a patient with periodontal disease,31.05 N 121.19 E,PB-240-2,PAIRED,cDNA,TRANSCRIPTOMIC,Fusobacterium nucleatum,ILLUMINA,2023-12-31T00:00:00Z,2023-10-11T15:22:00Z,1,Phage-infected JD-Fnp4,SRP465130,JD-Fn1
SRR26321357,RNA-Seq,300,2769320700,PRJNA1025116,SAMN37713808,Pathogen.cl,898362512,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,Qian Chen,2019-01-01,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX22029455,China,Asia,China: Shanghai,periodontal disease,Homo sapiens,Illumina NovaSeq 6000,saliva,Oral saliva sample of a patient with periodontal disease,31.05 N 121.19 E,PB-240-1,PAIRED,cDNA,TRANSCRIPTOMIC,Fusobacterium nucleatum,ILLUMINA,2023-12-31T00:00:00Z,2023-10-11T15:22:00Z,1,Phage-infected JD-Fnp4,SRP465130,JD-Fn1
SRR26321358,RNA-Seq,300,3588172200,PRJNA1025116,SAMN37713808,Pathogen.cl,1172209540,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,Qian Chen,2019-01-01,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX22029454,China,Asia,China: Shanghai,periodontal disease,Homo sapiens,Illumina NovaSeq 6000,saliva,Oral saliva sample of a patient with periodontal disease,31.05 N 121.19 E,PB-180-3,PAIRED,cDNA,TRANSCRIPTOMIC,Fusobacterium nucleatum,ILLUMINA,2023-12-31T00:00:00Z,2023-10-11T15:23:00Z,1,Phage-infected JD-Fnp4,SRP465130,JD-Fn1
SRR26321359,RNA-Seq,300,2408939400,PRJNA1025116,SAMN37713808,Pathogen.cl,782782210,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,Qian Chen,2019-01-01,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22029453,China,Asia,China: Shanghai,periodontal disease,Homo sapiens,Illumina NovaSeq 6000,saliva,Oral saliva sample of a patient with periodontal disease,31.05 N 121.19 E,PB-180-2,PAIRED,cDNA,TRANSCRIPTOMIC,Fusobacterium nucleatum,ILLUMINA,2023-12-31T00:00:00Z,2023-10-11T15:22:00Z,1,Phage-infected JD-Fnp4,SRP465130,JD-Fn1
