Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,time_point,treatment
SRR27597767,RNA-Seq,202,7463772538,PRJNA1065939,SAMN39476126,2512046940,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23266305,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022484,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:02:00Z,1,GSM8022484,NRS384,SRP484313,30 min,infected with phage K
SRR27597768,RNA-Seq,202,7890097578,PRJNA1065939,SAMN39476127,2682705677,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX23266304,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022483,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:02:00Z,1,GSM8022483,NRS384,SRP484313,30 min,infected with phage K
SRR27597769,RNA-Seq,202,5669422900,PRJNA1065939,SAMN39476128,1920956198,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23266303,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022482,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:00:00Z,1,GSM8022482,NRS384,SRP484313,20 min,infected with phage K
SRR27597770,RNA-Seq,202,5590852576,PRJNA1065939,SAMN39476129,1845976159,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23266302,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022481,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:00:00Z,1,GSM8022481,NRS384,SRP484313,20 min,infected with phage K
SRR27597771,RNA-Seq,202,7299298078,PRJNA1065939,SAMN39476130,2412987941,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23266301,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022480,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:01:00Z,1,GSM8022480,NRS384,SRP484313,20 min,infected with phage K
SRR27597772,RNA-Seq,202,6359031710,PRJNA1065939,SAMN39476131,2138854323,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23266300,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022479,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:01:00Z,1,GSM8022479,NRS384,SRP484313,20 min,infected with phage K
SRR27597773,RNA-Seq,202,5702061050,PRJNA1065939,SAMN39476132,1903329226,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23266299,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022478,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:02:00Z,1,GSM8022478,NRS384,SRP484313,10 min,infected with phage K
SRR27597774,RNA-Seq,202,6998353024,PRJNA1065939,SAMN39476133,2290580501,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23266298,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022477,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:02:00Z,1,GSM8022477,NRS384,SRP484313,10 min,infected with phage K
SRR27597775,RNA-Seq,202,5780594408,PRJNA1065939,SAMN39476134,1934982443,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX23266297,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022476,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:00:00Z,1,GSM8022476,NRS384,SRP484313,10 min,infected with phage K
SRR27597776,RNA-Seq,202,5151047672,PRJNA1065939,SAMN39476135,1698120177,NRS384,bacterial cells,"LABORATORY OF MUCOSAL PATHOGENS AND CELLULAR IMMUNITY, DEPARTMENT OF BACTERIAL, PARASITIC AND ALLERGENIC PRODUCTS, UNITED STATES FOOD AND DRUG ADMINISTRATION",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23266296,rpoC G17D,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8022475,PAIRED,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2024-10-10T00:00:00Z,2024-01-17T20:00:00Z,1,GSM8022475,NRS384,SRP484313,10 min,infected with phage K
