Run,assay,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_state,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,moi,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,Time,treatment
SRR27723737,1,RNA-Seq,300,3830087100,PRJNA1068994,SAMN39608891,1279599613,stationary,"CENTRE OF BIOLOGICAL ENGINEERING, UNIVERSITY OF MINHO",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23389674,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8035777,PAIRED,cDNA,TRANSCRIPTOMIC,5,Staphylococcus epidermidis,ILLUMINA,2024-05-15T00:00:00Z,2024-01-25T14:51:00Z,1,GSM8035777,9142,SRP485903,9142,15 min,Staphylococcus phage phiIBB-SEP1
SRR27723738,1,RNA-Seq,300,3354899700,PRJNA1068994,SAMN39608892,1114409179,stationary,"CENTRE OF BIOLOGICAL ENGINEERING, UNIVERSITY OF MINHO",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23389673,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8035776,PAIRED,cDNA,TRANSCRIPTOMIC,5,Staphylococcus epidermidis,ILLUMINA,2024-05-15T00:00:00Z,2024-01-25T14:51:00Z,1,GSM8035776,9142,SRP485903,9142,5 min,Staphylococcus phage phiIBB-SEP1
SRR27723739,1,RNA-Seq,300,2962353900,PRJNA1068994,SAMN39608893,980045196,stationary,"CENTRE OF BIOLOGICAL ENGINEERING, UNIVERSITY OF MINHO",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX23389672,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8035775,PAIRED,cDNA,TRANSCRIPTOMIC,0,Staphylococcus epidermidis,ILLUMINA,2024-05-15T00:00:00Z,2024-01-25T14:51:00Z,1,GSM8035775,9142,SRP485903,9142,0 min,No treatment
SRR27723740,3,RNA-Seq,300,3552450000,PRJNA1068994,SAMN39608894,1177087965,exponential,"CENTRE OF BIOLOGICAL ENGINEERING, UNIVERSITY OF MINHO",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23389671,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8035774,PAIRED,cDNA,TRANSCRIPTOMIC,5,Staphylococcus epidermidis,ILLUMINA,2024-05-15T00:00:00Z,2024-01-25T14:51:00Z,1,GSM8035774,9142,SRP485903,9142,30 min,Staphylococcus phage phiIBB-SEP1
SRR27723742,3,RNA-Seq,300,3260528100,PRJNA1068994,SAMN39608896,1093946126,exponential,"CENTRE OF BIOLOGICAL ENGINEERING, UNIVERSITY OF MINHO",missing,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX23389669,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8035772,PAIRED,cDNA,TRANSCRIPTOMIC,5,Staphylococcus epidermidis,ILLUMINA,2024-05-15T00:00:00Z,2024-01-25T14:50:00Z,1,GSM8035772,9142,SRP485903,9142,5 min,Staphylococcus phage phiIBB-SEP1
SRR27723743,3,RNA-Seq,300,3074796300,PRJNA1068994,SAMN39608897,1043367741,exponential,"CENTRE OF BIOLOGICAL ENGINEERING, UNIVERSITY OF MINHO",missing,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23389668,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8035771,PAIRED,cDNA,TRANSCRIPTOMIC,0,Staphylococcus epidermidis,ILLUMINA,2024-05-15T00:00:00Z,2024-01-25T14:51:00Z,1,GSM8035771,9142,SRP485903,9142,0 min,No treatment
SRR27723744,2,RNA-Seq,300,3180380400,PRJNA1068994,SAMN39608898,1056516576,exponential,"CENTRE OF BIOLOGICAL ENGINEERING, UNIVERSITY OF MINHO",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX23389667,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8035770,PAIRED,cDNA,TRANSCRIPTOMIC,5,Staphylococcus epidermidis,ILLUMINA,2024-05-15T00:00:00Z,2024-01-25T14:50:00Z,1,GSM8035770,9142,SRP485903,9142,30 min,Staphylococcus phage phiIBB-SEP1
SRR27723745,2,RNA-Seq,300,3243096900,PRJNA1068994,SAMN39608899,1105785139,exponential,"CENTRE OF BIOLOGICAL ENGINEERING, UNIVERSITY OF MINHO",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX23389666,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8035769,PAIRED,cDNA,TRANSCRIPTOMIC,5,Staphylococcus epidermidis,ILLUMINA,2024-05-15T00:00:00Z,2024-01-25T14:50:00Z,1,GSM8035769,9142,SRP485903,9142,15 min,Staphylococcus phage phiIBB-SEP1
SRR27723746,2,RNA-Seq,300,3076761300,PRJNA1068994,SAMN39608900,1030971505,exponential,"CENTRE OF BIOLOGICAL ENGINEERING, UNIVERSITY OF MINHO",missing,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23389665,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8035768,PAIRED,cDNA,TRANSCRIPTOMIC,5,Staphylococcus epidermidis,ILLUMINA,2024-05-15T00:00:00Z,2024-01-25T14:51:00Z,1,GSM8035768,9142,SRP485903,9142,5 min,Staphylococcus phage phiIBB-SEP1
SRR27723747,2,RNA-Seq,300,3015560400,PRJNA1068994,SAMN39608901,1013644856,exponential,"CENTRE OF BIOLOGICAL ENGINEERING, UNIVERSITY OF MINHO",missing,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23389664,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8035767,PAIRED,cDNA,TRANSCRIPTOMIC,0,Staphylococcus epidermidis,ILLUMINA,2024-05-15T00:00:00Z,2024-01-25T14:50:00Z,1,GSM8035767,9142,SRP485903,9142,0 min,No treatment
