Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain
SRR32886495,RNA-Seq,300,2535360300,PRJNA1242552,SAMN47595447,"Microbe\, viral or environmental",798183392,OCEAN UNIVERSITY OF CHINA,2021-12-15,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX28166575,China,Asia,China: Qingdao,None,Illumina NovaSeq 6000,"20 min\, rep 1",LB broth culture,PQ20-1,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2025-03-27T00:00:00Z,2025-03-27T16:15:00Z,1,PQ20-1,total RNA,SRP573650,PAO1
SRR32886496,RNA-Seq,300,2362184100,PRJNA1242552,SAMN47595446,"Microbe\, viral or environmental",760945565,OCEAN UNIVERSITY OF CHINA,2021-12-15,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX28166574,China,Asia,China: Qingdao,None,Illumina NovaSeq 6000,"6 min\, rep 3",LB broth culture,PQ6-3,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2025-03-27T00:00:00Z,2025-03-27T16:16:00Z,1,PQ6-3,total RNA,SRP573650,PAO1
SRR32886497,RNA-Seq,300,2010153900,PRJNA1242552,SAMN47595445,"Microbe\, viral or environmental",643846382,OCEAN UNIVERSITY OF CHINA,2021-12-15,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX28166573,China,Asia,China: Qingdao,None,Illumina NovaSeq 6000,"6 min\, rep 2",LB broth culture,PQ6-2,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2025-03-27T00:00:00Z,2025-03-27T16:15:00Z,1,PQ6-2,total RNA,SRP573650,PAO1
SRR32886498,RNA-Seq,300,4581016800,PRJNA1242552,SAMN47595444,"Microbe\, viral or environmental",1481083592,OCEAN UNIVERSITY OF CHINA,2021-12-15,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX28166572,China,Asia,China: Qingdao,None,Illumina NovaSeq 6000,"6 min\, rep 1",LB broth culture,PQ6-1,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2025-03-27T00:00:00Z,2025-03-27T16:16:00Z,1,PQ6-1,total RNA,SRP573650,PAO1
SRR32886499,RNA-Seq,300,2377946700,PRJNA1242552,SAMN47595443,"Microbe\, viral or environmental",761716154,OCEAN UNIVERSITY OF CHINA,2021-12-15,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX28166571,China,Asia,China: Qingdao,None,Illumina NovaSeq 6000,"3 min\, rep 3",LB broth culture,PQ3-3,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2025-03-27T00:00:00Z,2025-03-27T16:16:00Z,1,PQ3-3,total RNA,SRP573650,PAO1
SRR32886500,RNA-Seq,300,4573226100,PRJNA1242552,SAMN47595442,"Microbe\, viral or environmental",1473420542,OCEAN UNIVERSITY OF CHINA,2021-12-15,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX28166570,China,Asia,China: Qingdao,None,Illumina NovaSeq 6000,"3 min\, rep 2",LB broth culture,PQ3-2,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2025-03-27T00:00:00Z,2025-03-27T16:16:00Z,1,PQ3-2,total RNA,SRP573650,PAO1
SRR32886501,RNA-Seq,300,4305528000,PRJNA1242552,SAMN47595441,"Microbe\, viral or environmental",1370488796,OCEAN UNIVERSITY OF CHINA,2021-12-15,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28166569,China,Asia,China: Qingdao,None,Illumina NovaSeq 6000,"3 min\, rep 1",LB broth culture,PQ3-1,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2025-03-27T00:00:00Z,2025-03-27T16:16:00Z,1,PQ3-1,total RNA,SRP573650,PAO1
SRR32886502,RNA-Seq,300,2985830100,PRJNA1242552,SAMN47595440,"Microbe\, viral or environmental",956319313,OCEAN UNIVERSITY OF CHINA,2021-12-15,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX28166568,China,Asia,China: Qingdao,None,Illumina NovaSeq 6000,"0 min\, rep 3",LB broth culture,PQ0-3,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2025-03-27T00:00:00Z,2025-03-27T16:16:00Z,1,PQ0-3,total RNA,SRP573650,PAO1
SRR32886503,RNA-Seq,300,3006150000,PRJNA1242552,SAMN47595449,"Microbe\, viral or environmental",961998580,OCEAN UNIVERSITY OF CHINA,2021-12-15,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX28166567,China,Asia,China: Qingdao,None,Illumina NovaSeq 6000,"20 min\, rep 3",LB broth culture,PQ20-3,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2025-03-27T00:00:00Z,2025-03-27T16:16:00Z,1,PQ20-3,total RNA,SRP573650,PAO1
SRR32886504,RNA-Seq,300,2303793600,PRJNA1242552,SAMN47595448,"Microbe\, viral or environmental",739713366,OCEAN UNIVERSITY OF CHINA,2021-12-15,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX28166566,China,Asia,China: Qingdao,None,Illumina NovaSeq 6000,"Pseudomonas aeruginosa 20 min\, rep 2",LB broth culture,PQ20-2,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2025-03-27T00:00:00Z,2025-03-27T16:15:00Z,1,PQ20-2,total RNA,SRP573650,PAO1
