Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,num_replicons,Organism,Platform,ref_biomaterial,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR33380943,RNA-Seq,300,5313291600,PRJNA1254618,SAMN48127589,"MIGS.ba,MIGS/MIMS/MIMARKS.water",1658778590,"INSTITUTE OF HYDROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2023-06-28,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,not applicable,SRX28623986,China,Asia,China:Wuhan,Illumina NovaSeq 6000,not applicable,30.6041682 N 114.2653871 E,FACHB-524_infected_72h1,PAIRED,RANDOM,TRANSCRIPTOMIC,1,Microcystis aeruginosa FACHB-524,ILLUMINA,not applicable,2025-04-29T00:00:00Z,2025-04-29T23:14:00Z,1,FACHB-524_infected_72h1,SRP582267,FACHB-524
SRR33380944,RNA-Seq,300,5072773500,PRJNA1254618,SAMN48127588,"MIGS.ba,MIGS/MIMS/MIMARKS.water",1581154280,"INSTITUTE OF HYDROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2023-06-27,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,not applicable,SRX28623985,China,Asia,China:Wuhan,Illumina NovaSeq 6000,not applicable,30.6041582 N 114.2653871 E,FACHB-524_infected_60h3,PAIRED,RANDOM,TRANSCRIPTOMIC,1,Microcystis aeruginosa FACHB-524,ILLUMINA,not applicable,2025-04-29T00:00:00Z,2025-04-29T23:14:00Z,1,FACHB-524_infected_60h3,SRP582267,FACHB-524
SRR33380945,RNA-Seq,300,5280095100,PRJNA1254618,SAMN48127587,"MIGS.ba,MIGS/MIMS/MIMARKS.water",1650300870,"INSTITUTE OF HYDROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2023-06-27,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,not applicable,SRX28623984,China,Asia,China:Wuhan,Illumina NovaSeq 6000,not applicable,30.6040582 N 114.2653871 E,FACHB-524_infected_60h2,PAIRED,RANDOM,TRANSCRIPTOMIC,1,Microcystis aeruginosa FACHB-524,ILLUMINA,not applicable,2025-04-29T00:00:00Z,2025-04-29T23:13:00Z,1,FACHB-524_infected_60h2,SRP582267,FACHB-524
SRR33380946,RNA-Seq,300,5585021400,PRJNA1254618,SAMN48127586,"MIGS.ba,MIGS/MIMS/MIMARKS.water",1737843597,"INSTITUTE OF HYDROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2023-06-27,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,not applicable,not applicable,SRX28623983,China,Asia,China:Wuhan,Illumina NovaSeq 6000,not applicable,30.6040482 N 114.2653871 E,FACHB-524_infected_60h1,PAIRED,RANDOM,TRANSCRIPTOMIC,1,Microcystis aeruginosa FACHB-524,ILLUMINA,not applicable,2025-04-29T00:00:00Z,2025-04-29T23:14:00Z,1,FACHB-524_infected_60h1,SRP582267,FACHB-524
SRR33380947,RNA-Seq,300,4096347000,PRJNA1254618,SAMN48127585,"MIGS.ba,MIGS/MIMS/MIMARKS.water",1279276776,"INSTITUTE OF HYDROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2023-06-26,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,not applicable,SRX28623982,China,Asia,China:Wuhan,Illumina NovaSeq 6000,not applicable,30.6043382 N 114.2653871 E,FACHB-524_infected_12h3,PAIRED,RANDOM,TRANSCRIPTOMIC,1,Microcystis aeruginosa FACHB-524,ILLUMINA,not applicable,2025-04-29T00:00:00Z,2025-04-29T23:13:00Z,1,FACHB-524_infected_12h3,SRP582267,FACHB-524
SRR33380948,RNA-Seq,300,4301840400,PRJNA1254618,SAMN48127584,"MIGS.ba,MIGS/MIMS/MIMARKS.water",1352318534,"INSTITUTE OF HYDROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2023-06-26,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,not applicable,SRX28623981,China,Asia,China:Wuhan,Illumina NovaSeq 6000,not applicable,30.6042382 N 114.2653871 E,FACHB-524_infected_12h2,PAIRED,RANDOM,TRANSCRIPTOMIC,1,Microcystis aeruginosa FACHB-524,ILLUMINA,not applicable,2025-04-29T00:00:00Z,2025-04-29T23:13:00Z,1,FACHB-524_infected_12h2,SRP582267,FACHB-524
SRR33380949,RNA-Seq,300,4043312400,PRJNA1254618,SAMN48127583,"MIGS.ba,MIGS/MIMS/MIMARKS.water",1268915189,"INSTITUTE OF HYDROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2023-06-26,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,not applicable,SRX28623980,China,Asia,China:Wuhan,Illumina NovaSeq 6000,not applicable,30.6040382 N 114.2653871 E,FACHB-524_infected_12h1,PAIRED,RANDOM,TRANSCRIPTOMIC,1,Microcystis aeruginosa FACHB-524,ILLUMINA,not applicable,2025-04-29T00:00:00Z,2025-04-29T23:13:00Z,1,FACHB-524_infected_12h1,SRP582267,FACHB-524
SRR33380950,RNA-Seq,300,5119244100,PRJNA1254618,SAMN48127582,"MIGS.ba,MIGS/MIMS/MIMARKS.water",1607759471,"INSTITUTE OF HYDROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2023-06-25,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,not applicable,not applicable,SRX28623979,China,Asia,China:Wuhan,Illumina NovaSeq 6000,not applicable,30.6041282 N 114.2653871 E,FACHB-524_0h3,PAIRED,RANDOM,TRANSCRIPTOMIC,1,Microcystis aeruginosa FACHB-524,ILLUMINA,not applicable,2025-04-29T00:00:00Z,2025-04-29T23:14:00Z,1,FACHB-524_0h3,SRP582267,FACHB-524
SRR33380951,RNA-Seq,300,4944224100,PRJNA1254618,SAMN48127591,"MIGS.ba,MIGS/MIMS/MIMARKS.water",1531444886,"INSTITUTE OF HYDROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2023-06-28,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,not applicable,SRX28623978,China,Asia,China:Wuhan,Illumina NovaSeq 6000,not applicable,30.6042582 N 114.2653871 E,FACHB-524_infected_72h3,PAIRED,RANDOM,TRANSCRIPTOMIC,1,Microcystis aeruginosa FACHB-524,ILLUMINA,not applicable,2025-04-29T00:00:00Z,2025-04-29T23:14:00Z,1,FACHB-524_infected_72h3,SRP582267,FACHB-524
SRR33380952,RNA-Seq,300,5008933200,PRJNA1254618,SAMN48127590,"MIGS.ba,MIGS/MIMS/MIMARKS.water",1554127419,"INSTITUTE OF HYDROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2023-06-28,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,not applicable,SRX28623977,China,Asia,China:Wuhan,Illumina NovaSeq 6000,not applicable,30.6041782 N 114.2653871 E,FACHB-524_infected_72h2,PAIRED,RANDOM,TRANSCRIPTOMIC,1,Microcystis aeruginosa FACHB-524,ILLUMINA,not applicable,2025-04-29T00:00:00Z,2025-04-29T23:13:00Z,1,FACHB-524_infected_72h2,SRP582267,FACHB-524
