Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,SRA Study,strain,create_date,version
SRR1593766,RNA-Seq,40,251605040,PRJNA262612,SAMN03084361,"Microbe\, viral or environmental",173715996,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717566,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_4h,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected4h,missing,SRP048525,NATL2A,2015-12-14T10:19:00Z,2
SRR1593767,RNA-Seq,40,210537920,PRJNA262612,SAMN03084361,"Microbe\, viral or environmental",145079285,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717567,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_4h,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected4h,missing,SRP048525,NATL2A,2015-12-14T10:19:00Z,2
SRR1593768,RNA-Seq,40,148127120,PRJNA262612,SAMN03084362,"Microbe\, viral or environmental",103084250,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717568,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_4h_NoPhosphate,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected-P4h,missing,SRP048525,NATL2A,2015-12-14T10:19:00Z,2
SRR1593769,RNA-Seq,40,206093120,PRJNA262612,SAMN03084362,"Microbe\, viral or environmental",142845186,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717571,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_4h_NoPhosphate,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected-P4h,missing,SRP048525,NATL2A,2015-12-14T10:19:00Z,2
SRR1593774,RNA-Seq,40,214706320,PRJNA262612,SAMN03084365,"Microbe\, viral or environmental",149837478,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717580,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_24h,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected24h,missing,SRP048525,NATL2A,2015-12-14T10:19:00Z,2
SRR1593775,RNA-Seq,40,167453480,PRJNA262612,SAMN03084365,"Microbe\, viral or environmental",116748798,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717581,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_24h,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected24h,missing,SRP048525,NATL2A,2015-12-14T10:19:00Z,2
SRR1593776,RNA-Seq,40,186099760,PRJNA262612,SAMN03084366,"Microbe\, viral or environmental",128681044,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717583,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_24h_NoPhosphate,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected-P24h,missing,SRP048525,NATL2A,2015-12-14T10:19:00Z,2
SRR1593777,RNA-Seq,40,190933960,PRJNA262612,SAMN03084366,"Microbe\, viral or environmental",133152961,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717584,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_24h_NoPhosphate,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected-P24h,missing,SRP048525,NATL2A,2015-12-14T10:19:00Z,2
SRR1593782,RNA-Seq,40,228634760,PRJNA262612,SAMN03084369,"Microbe\, viral or environmental",160646920,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717598,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_46h,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected46h,missing,SRP048525,NATL2A,2015-12-14T10:23:00Z,2
SRR1593783,RNA-Seq,40,191063600,PRJNA262612,SAMN03084369,"Microbe\, viral or environmental",133143250,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717599,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_46h,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected46h,missing,SRP048525,NATL2A,2015-12-14T10:25:00Z,2
SRR1593784,RNA-Seq,40,202055600,PRJNA262612,SAMN03084370,"Microbe\, viral or environmental",140761676,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717600,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_46h_NoPhosphate,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected-P46h,missing,SRP048525,NATL2A,2015-12-14T10:23:00Z,2
SRR1593785,RNA-Seq,40,190917920,PRJNA262612,SAMN03084370,"Microbe\, viral or environmental",134147783,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717601,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_46h_NoPhosphate,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected-P46h,missing,SRP048525,NATL2A,2015-12-14T10:23:00Z,2
SRR1593786,RNA-Seq,40,197556160,PRJNA262612,SAMN03084371,"Microbe\, viral or environmental",137562517,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717602,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_59h,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected59h,missing,SRP048525,NATL2A,2015-12-14T10:23:00Z,2
SRR1593787,RNA-Seq,40,154221400,PRJNA262612,SAMN03084371,"Microbe\, viral or environmental",107453745,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717603,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_59h,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected59h,missing,SRP048525,NATL2A,2015-12-14T10:23:00Z,2
SRR1593788,RNA-Seq,40,219631960,PRJNA262612,SAMN03084372,"Microbe\, viral or environmental",152428202,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717604,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_59h_NoPhosphate,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected-P59h,missing,SRP048525,NATL2A,2015-12-14T10:23:00Z,2
SRR1593789,RNA-Seq,40,201743040,PRJNA262612,SAMN03084372,"Microbe\, viral or environmental",140426386,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717605,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_59h_NoPhosphate,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected-P59h,missing,SRP048525,NATL2A,2015-12-14T10:23:00Z,2
SRR1593790,RNA-Seq,40,162287360,PRJNA262612,SAMN03084373,"Microbe\, viral or environmental",112813822,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717607,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_50h_PhosphateAdded,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected+P50h,missing,SRP048525,NATL2A,2015-12-14T10:23:00Z,2
SRR1593791,RNA-Seq,40,167865160,PRJNA262612,SAMN03084373,"Microbe\, viral or environmental",116882696,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717608,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_50h_PhosphateAdded,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected+P50h,missing,SRP048525,NATL2A,2015-12-14T10:23:00Z,2
SRR1593792,RNA-Seq,40,184532600,PRJNA262612,SAMN03084374,"Microbe\, viral or environmental",129085661,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717609,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_59h_PhosphateAdded,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected+P59h,missing,SRP048525,NATL2A,2015-12-14T10:23:00Z,2
SRR1593793,RNA-Seq,40,193068440,PRJNA262612,SAMN03084374,"Microbe\, viral or environmental",134986956,USTQIAN,2010-02-17,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717610,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Uninfected_59h_PhosphateAdded,,SINGLE,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2015-07-22T00:00:00Z,Uninfected+P59h,missing,SRP048525,NATL2A,2015-12-14T10:23:00Z,2
SRR1593795,RNA-Seq,40,246020800,PRJNA262612,SAMN03084375,"Microbe\, viral or environmental",156882317,USTQIAN,2010-02-17,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717611,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Infected_0h,,PAIRED,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2014-10-03T00:00:00Z,Infected0h,missing,SRP048525,NATL2A,2014-10-03T07:57:00Z,1
SRR1593797,RNA-Seq,40,260652240,PRJNA262612,SAMN03084375,"Microbe\, viral or environmental",166599680,USTQIAN,2010-02-17,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717612,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Infected_0h,,PAIRED,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2014-10-03T00:00:00Z,Infected0h,missing,SRP048525,NATL2A,2014-10-03T07:57:00Z,1
SRR1593799,RNA-Seq,80,618303840,PRJNA262612,SAMN03084376,"Microbe\, viral or environmental",412444556,USTQIAN,2010-02-17,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717613,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Infected_0h_NoPhosphate,,PAIRED,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2014-10-03T00:00:00Z,Infected-P0h,missing,SRP048525,NATL2A,2015-03-26T16:42:00Z,2
SRR1593801,RNA-Seq,40,252070320,PRJNA262612,SAMN03084376,"Microbe\, viral or environmental",160430314,USTQIAN,2010-02-17,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717614,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Infected_0h_NoPhosphate,,PAIRED,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2014-10-03T00:00:00Z,Infected-P0h,missing,SRP048525,NATL2A,2014-10-03T07:58:00Z,1
SRR1593803,RNA-Seq,40,219718400,PRJNA262612,SAMN03084377,"Microbe\, viral or environmental",139444254,USTQIAN,2010-02-17,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717615,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Infected_1h,,PAIRED,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2014-10-03T00:00:00Z,Infected1h,missing,SRP048525,NATL2A,2014-10-03T07:58:00Z,1
SRR1593805,RNA-Seq,40,172793240,PRJNA262612,SAMN03084377,"Microbe\, viral or environmental",110207188,USTQIAN,2010-02-17,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX717616,uncalculated,uncalculated,not applicable,Illumina HiSeq 2000,Infected_1h,,PAIRED,other,TRANSCRIPTOMIC,Prochlorococcus marinus str. NATL2A,ILLUMINA,2014-10-03T00:00:00Z,Infected1h,missing,SRP048525,NATL2A,2014-10-03T07:59:00Z,1
