Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain,time_point
SRR3038054,RNA-Seq,50,2229747850,PRJNA303174,SAMN04358622,"Microbe\, viral or environmental",1305925944,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494245,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T0C1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:44:00Z,1,Cba18 0 min C,"C,culture",SRP066570,18,0
SRR3038055,RNA-Seq,50,2141842050,PRJNA303174,SAMN04358622,"Microbe\, viral or environmental",1246606950,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494246,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T0C2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:43:00Z,1,Cba18 0 min C,"C,culture",SRP066570,18,0
SRR3038056,RNA-Seq,50,5475595750,PRJNA303174,SAMN04358622,"Microbe\, viral or environmental",3183747518,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494247,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T0C3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:53:00Z,1,Cba18 0 min C,"C,culture",SRP066570,18,0
SRR3038057,RNA-Seq,50,2330152100,PRJNA303174,SAMN04358623,"Microbe\, viral or environmental",1356778729,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494248,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T0R1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-21T13:43:00Z,1,Cba18 0 min I,"I,culture",SRP066570,18,0
SRR3038060,RNA-Seq,50,2637707850,PRJNA303174,SAMN04358624,"Microbe\, viral or environmental",1539671894,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494251,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T120C1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:56:00Z,1,Cba18 120 min C,"C,culture",SRP066570,18,120
SRR3038061,RNA-Seq,50,3294665400,PRJNA303174,SAMN04358624,"Microbe\, viral or environmental",1921049836,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494252,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T120C2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T13:02:00Z,1,Cba18 120 min C,"C,culture",SRP066570,18,120
SRR3038062,RNA-Seq,50,2095444250,PRJNA303174,SAMN04358624,"Microbe\, viral or environmental",1224115350,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494253,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T120C3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:54:00Z,1,Cba18 120 min C,"C,culture",SRP066570,18,120
SRR3038069,RNA-Seq,50,1815806650,PRJNA303174,SAMN04358627,"Microbe\, viral or environmental",1062637010,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494260,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T20R1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:53:00Z,1,Cba18 20 min I,"I,culture",SRP066570,18,20
SRR3038070,RNA-Seq,50,1969322400,PRJNA303174,SAMN04358627,"Microbe\, viral or environmental",1149949536,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494261,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T20R2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:53:00Z,1,Cba18 20 min I,"I,culture",SRP066570,18,20
SRR3038071,RNA-Seq,50,1129950000,PRJNA303174,SAMN04358627,"Microbe\, viral or environmental",656136397,UNIVERSITY OF ARIZONA,2014,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1494262,USA,North America,USA,AB 5500xl Genetic Analyzer,seawater,18_T20R3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Cellulophaga baltica 18,ABI_SOLID,2016-01-29T00:00:00Z,2015-12-23T12:51:00Z,1,Cba18 20 min I,"I,culture",SRP066570,18,20
