Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,time_point
SRR3084367,RNA-Seq,75,398008413,PRJNA307603,SAMN04383803,261577106,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX1516047,GSM2027326,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas phage PAK_P3,ILLUMINA,2016-07-25T00:00:00Z,2016-09-15T11:09:00Z,1,GSM2027326,Pseudomonas phage PAK P3,SRP068063,P3,3.5 min post infection
SRR3084368,RNA-Seq,75,39086550,PRJNA307603,SAMN04383804,26784815,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX1516048,GSM2027327,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas phage PAK_P3,ILLUMINA,2016-07-25T00:00:00Z,2016-09-15T11:07:00Z,1,GSM2027327,Pseudomonas phage PAK P3,SRP068063,P3,3.5 min post infection
SRR3084369,RNA-Seq,75,372137270,PRJNA307603,SAMN04383805,254896423,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX1516049,GSM2027328,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas phage PAK_P3,ILLUMINA,2016-07-25T00:00:00Z,2016-09-15T11:09:00Z,1,GSM2027328,Pseudomonas phage PAK P3,SRP068063,P3,3.5 min post infection
SRR3084370,RNA-Seq,75,920059126,PRJNA307603,SAMN04383806,593470588,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX1516050,GSM2027329,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas phage PAK_P3,ILLUMINA,2016-07-25T00:00:00Z,2016-09-15T11:13:00Z,1,GSM2027329,Pseudomonas phage PAK P3,SRP068063,P3,13 min post infection
SRR3084371,RNA-Seq,75,62267893,PRJNA307603,SAMN04383807,41765045,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX1516051,GSM2027330,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas phage PAK_P3,ILLUMINA,2016-07-25T00:00:00Z,2016-09-15T11:07:00Z,1,GSM2027330,Pseudomonas phage PAK P3,SRP068063,P3,13 min post infection
SRR3084372,RNA-Seq,75,1227135340,PRJNA307603,SAMN04383808,826467844,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX1516052,GSM2027331,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas phage PAK_P3,ILLUMINA,2016-07-25T00:00:00Z,2016-09-15T11:14:00Z,1,GSM2027331,Pseudomonas phage PAK P3,SRP068063,P3,13 min post infection
SRR3084373,RNA-Seq,75,896761757,PRJNA307603,SAMN04383809,315768686,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX1516053,GSM2027332,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAK,ILLUMINA,2016-07-25T00:00:00Z,2016-09-15T11:10:00Z,1,GSM2027332,Pseudomonas aeruginosa PAK,SRP068063,PAK,0 min post infection
SRR3084374,RNA-Seq,75,946825478,PRJNA307603,SAMN04383810,324646971,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX1516054,GSM2027333,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAK,ILLUMINA,2016-07-25T00:00:00Z,2016-09-15T11:10:00Z,1,GSM2027333,Pseudomonas aeruginosa PAK,SRP068063,PAK,0 min post infection
SRR3084375,RNA-Seq,74,1069299612,PRJNA307603,SAMN04383811,739198296,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516056,GSM2027334,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAK,ILLUMINA,2016-07-25T00:00:00Z,2016-09-15T11:14:00Z,1,GSM2027334,Pseudomonas aeruginosa PAK,SRP068063,PAK,0 min post infection
SRR3084376,RNA-Seq,75,113486404,PRJNA307603,SAMN04383783,75812669,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX1516057,GSM2027335,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAK,ILLUMINA,2016-07-25T00:00:00Z,2016-09-15T11:08:00Z,1,GSM2027335,Pseudomonas aeruginosa PAK,SRP068063,PAK,13 min post infection
SRR3084377,RNA-Seq,75,1141292253,PRJNA307603,SAMN04383752,712184811,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1516058,GSM2027336,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAK,ILLUMINA,2016-07-25T00:00:00Z,2016-09-15T11:15:00Z,1,GSM2027336,Pseudomonas aeruginosa PAK,SRP068063,PAK,13 min post infection
SRR3084378,RNA-Seq,75,190447388,PRJNA307603,SAMN04383753,131820781,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX1516059,GSM2027337,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAK,ILLUMINA,2016-07-25T00:00:00Z,2016-09-15T11:10:00Z,1,GSM2027337,Pseudomonas aeruginosa PAK,SRP068063,PAK,13 min post infection
