Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,control_or_infected,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),host_strain,Instrument,LibraryLayout,LibrarySelection,LibrarySource,light_or_dark,Organism,phage_strain,Platform,ReleaseDate,replicate,create_date,version,Sample Name,source_name,SRA Study,strain,sub_species,timepoint
SRR3234484,RNA-Seq,80,234536240,PRJNA315575,SAMN04566044,145381782,GEO,public,control,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX1640094,GSM2092847,Prochlorococcus marinus MED4,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,dark,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Cyanophage P-HM2,ILLUMINA,2016-03-21T00:00:00Z,1,2016-03-17T18:56:00Z,1,GSM2092847,Prochlorococcus culture,SRP071951,CCMP1986,pastoris,0.5
SRR3234485,RNA-Seq,80,244502240,PRJNA315575,SAMN04566045,147376510,GEO,public,control,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX1640095,GSM2092848,Prochlorococcus marinus MED4,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,dark,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Cyanophage P-HM2,ILLUMINA,2016-03-21T00:00:00Z,1,2016-03-17T18:56:00Z,1,GSM2092848,Prochlorococcus culture,SRP071951,CCMP1986,pastoris,1.5
SRR3234486,RNA-Seq,80,232592480,PRJNA315575,SAMN04566046,139779011,GEO,public,control,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX1640096,GSM2092849,Prochlorococcus marinus MED4,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,dark,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Cyanophage P-HM2,ILLUMINA,2016-03-21T00:00:00Z,1,2016-03-17T18:56:00Z,1,GSM2092849,Prochlorococcus culture,SRP071951,CCMP1986,pastoris,2.5
SRR3234487,RNA-Seq,80,220436720,PRJNA315575,SAMN04566047,132767786,GEO,public,control,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX1640097,GSM2092850,Prochlorococcus marinus MED4,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,dark,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Cyanophage P-HM2,ILLUMINA,2016-03-21T00:00:00Z,1,2016-03-17T18:56:00Z,1,GSM2092850,Prochlorococcus culture,SRP071951,CCMP1986,pastoris,4.5
SRR3234488,RNA-Seq,80,193805040,PRJNA315575,SAMN04566048,117464299,GEO,public,control,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX1640098,GSM2092851,Prochlorococcus marinus MED4,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,dark,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Cyanophage P-HM2,ILLUMINA,2016-03-21T00:00:00Z,1,2016-03-17T18:56:00Z,1,GSM2092851,Prochlorococcus culture,SRP071951,CCMP1986,pastoris,8.5
SRR3234489,RNA-Seq,80,240798320,PRJNA315575,SAMN04566049,146978394,GEO,public,control,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX1640099,GSM2092852,Prochlorococcus marinus MED4,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,light,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Cyanophage P-HM2,ILLUMINA,2016-03-21T00:00:00Z,1,2016-03-17T18:56:00Z,1,GSM2092852,Prochlorococcus culture,SRP071951,CCMP1986,pastoris,0.5
SRR3234490,RNA-Seq,80,211737120,PRJNA315575,SAMN04566050,127272088,GEO,public,control,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX1640100,GSM2092853,Prochlorococcus marinus MED4,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,light,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Cyanophage P-HM2,ILLUMINA,2016-03-21T00:00:00Z,1,2016-03-17T18:56:00Z,1,GSM2092853,Prochlorococcus culture,SRP071951,CCMP1986,pastoris,1.5
SRR3234491,RNA-Seq,80,249854720,PRJNA315575,SAMN04566051,152270130,GEO,public,control,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1640101,GSM2092854,Prochlorococcus marinus MED4,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,light,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Cyanophage P-HM2,ILLUMINA,2016-03-21T00:00:00Z,1,2016-03-17T18:56:00Z,1,GSM2092854,Prochlorococcus culture,SRP071951,CCMP1986,pastoris,2.5
SRR3234492,RNA-Seq,80,193233040,PRJNA315575,SAMN04566052,117600146,GEO,public,control,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX1640102,GSM2092855,Prochlorococcus marinus MED4,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,light,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Cyanophage P-HM2,ILLUMINA,2016-03-21T00:00:00Z,1,2016-03-17T18:55:00Z,1,GSM2092855,Prochlorococcus culture,SRP071951,CCMP1986,pastoris,4.5
SRR3234493,RNA-Seq,80,212958320,PRJNA315575,SAMN04566053,129251751,GEO,public,control,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX1640103,GSM2092856,Prochlorococcus marinus MED4,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,light,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Cyanophage P-HM2,ILLUMINA,2016-03-21T00:00:00Z,1,2016-03-17T18:56:00Z,1,GSM2092856,Prochlorococcus culture,SRP071951,CCMP1986,pastoris,8.5
