Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),host_strain,infection_timepoint,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,phage,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain
SRR3594605,RNA-Seq,139,1541946981,PRJNA323606,SAMN05181616,813499226,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX1803750,GSM2179835,Mycobacterium smegmatis mc2155,no exogenous phage added,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Mycolicibacterium smegmatis MC2 155,Mycobacteriophage Butters,ILLUMINA,2016-10-27T00:00:00Z,2016-05-27T14:56:00Z,1,GSM2179835,Cells grown in liquid media,SRP075827,MC2 155
SRR3594606,RNA-Seq,142,1233257919,PRJNA323606,SAMN05181617,541191068,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX1803751,GSM2179836,Mycobacterium smegmatis mc2155,no exogenous phage added,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Mycolicibacterium smegmatis MC2 155,Mycobacteriophage Charlie,ILLUMINA,2016-10-27T00:00:00Z,2016-05-27T14:53:00Z,1,GSM2179836,Cells grown in liquid media,SRP075827,MC2 155
SRR3594607,RNA-Seq,141,3548764877,PRJNA323606,SAMN05181618,1633470442,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX1803752,GSM2179837,Mycobacterium smegmatis mc2155,30 minutes,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Mycolicibacterium smegmatis MC2 155,Mycobacteriophage Charlie,ILLUMINA,2016-10-27T00:00:00Z,2016-05-27T15:13:00Z,1,GSM2179837,Cells grown in liquid media,SRP075827,MC2 155
SRR3594608,RNA-Seq,139,1814289834,PRJNA323606,SAMN05181619,839043220,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX1803753,GSM2179838,Mycobacterium smegmatis mc2155,2 hours 30 minutes,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Mycolicibacterium smegmatis MC2 155,Mycobacteriophage Charlie,ILLUMINA,2016-10-27T00:00:00Z,2016-05-27T14:54:00Z,1,GSM2179838,Cells grown in liquid media,SRP075827,MC2 155
SRR3594609,RNA-Seq,138,1090189292,PRJNA323606,SAMN05181620,583793673,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX1803754,GSM2179839,Mycobacterium smegmatis mc2155,no exogenous phage added,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Mycolicibacterium smegmatis MC2 155,Mycobacteriophage MichelleMyBell,ILLUMINA,2016-10-27T00:00:00Z,2016-05-27T14:53:00Z,1,GSM2179839,Cells grown in liquid media,SRP075827,MC2 155
SRR3594610,RNA-Seq,139,965210017,PRJNA323606,SAMN05181621,332116762,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX1803755,GSM2179840,Mycobacterium smegmatis mc2155,30 minutes,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Mycolicibacterium smegmatis MC2 155,Mycobacteriophage MichelleMyBell,ILLUMINA,2016-10-27T00:00:00Z,2016-05-27T14:53:00Z,1,GSM2179840,Cells grown in liquid media,SRP075827,MC2 155
SRR3594611,RNA-Seq,137,1156582812,PRJNA323606,SAMN05181622,397163958,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX1803756,GSM2179841,Mycobacterium smegmatis mc2155,2 hours 30 minutes,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Mycolicibacterium smegmatis MC2 155,Mycobacteriophage MichelleMyBell,ILLUMINA,2016-10-27T00:00:00Z,2016-05-27T14:53:00Z,1,GSM2179841,Cells grown in liquid media,SRP075827,MC2 155
SRR3594612,RNA-Seq,141,1004985390,PRJNA323606,SAMN05181611,442479251,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX1803757,GSM2179842,Mycobacterium smegmatis mc2155,no exogenous phage added,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Mycolicibacterium smegmatis MC2 155,Mycobacteriophage Panchino,ILLUMINA,2016-10-27T00:00:00Z,2016-05-27T14:53:00Z,1,GSM2179842,Cells grown in liquid media,SRP075827,MC2 155
SRR3594613,RNA-Seq,133,1269223399,PRJNA323606,SAMN05181612,679755922,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX1803758,GSM2179843,Mycobacterium smegmatis mc2155,no exogenous phage added,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Mycolicibacterium smegmatis MC2 155,Mycobacteriophage Phrann,ILLUMINA,2016-10-27T00:00:00Z,2016-05-27T14:54:00Z,1,GSM2179843,Cells grown in liquid media,SRP075827,MC2 155
SRR3594614,RNA-Seq,141,1456768128,PRJNA323606,SAMN05181613,644176557,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX1803759,GSM2179844,Mycobacterium smegmatis mc2155,no exogenous phage added,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Mycolicibacterium smegmatis MC2 155,Mycobacteriophage Redi,ILLUMINA,2016-10-27T00:00:00Z,2016-05-27T14:54:00Z,1,GSM2179844,Cells grown in liquid media,SRP075827,MC2 155
