Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,Time_point
SRR4242921,RNA-Seq,75,1184917934,PRJNA340008,SAMN05629246,534579360,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX2044495,GSM2290746,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas phage PAK_P4,ILLUMINA,2020-04-17T00:00:00Z,2016-09-14T16:04:00Z,1,GSM2290746,Pseudomonas phage PAK P4,SRP082706,P4,3.5 min post infection
SRR4242922,RNA-Seq,75,1101857922,PRJNA340008,SAMN05629245,499079715,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX2044496,GSM2290747,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas phage PAK_P4,ILLUMINA,2020-04-17T00:00:00Z,2016-09-14T15:58:00Z,1,GSM2290747,Pseudomonas phage PAK P4,SRP082706,P4,3.5 min post infection
SRR4242923,RNA-Seq,75,1169669921,PRJNA340008,SAMN05629244,548617211,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX2044497,GSM2290748,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas phage PAK_P4,ILLUMINA,2020-04-17T00:00:00Z,2016-09-14T16:00:00Z,1,GSM2290748,Pseudomonas phage PAK P4,SRP082706,P4,3.5 min post infection
SRR4242924,RNA-Seq,75,1110124007,PRJNA340008,SAMN05629258,500269001,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX2044498,GSM2290749,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas phage PAK_P4,ILLUMINA,2020-04-17T00:00:00Z,2016-09-14T15:59:00Z,1,GSM2290749,Pseudomonas phage PAK P4,SRP082706,P4,13 min post infection
SRR4242925,RNA-Seq,75,1235961109,PRJNA340008,SAMN05629257,557106509,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX2044499,GSM2290750,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas phage PAK_P4,ILLUMINA,2020-04-17T00:00:00Z,2016-09-14T15:59:00Z,1,GSM2290750,Pseudomonas phage PAK P4,SRP082706,P4,13 min post infection
SRR4242926,RNA-Seq,75,1194562644,PRJNA340008,SAMN05629256,561548388,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX2044500,GSM2290751,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas phage PAK_P4,ILLUMINA,2020-04-17T00:00:00Z,2016-09-14T16:00:00Z,1,GSM2290751,Pseudomonas phage PAK P4,SRP082706,P4,13 min post infection
SRR4242927,RNA-Seq,75,944346499,PRJNA340008,SAMN05629255,417619408,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX2044501,GSM2290752,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAK,ILLUMINA,2020-04-17T00:00:00Z,2016-09-14T15:58:00Z,1,GSM2290752,Pseudomonas aeruginosa PAK,SRP082706,PAK,0 min post infection
SRR4242928,RNA-Seq,75,986654383,PRJNA340008,SAMN05629254,434257743,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX2044502,GSM2290753,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAK,ILLUMINA,2020-04-17T00:00:00Z,2016-09-14T15:58:00Z,1,GSM2290753,Pseudomonas aeruginosa PAK,SRP082706,PAK,0 min post infection
SRR4242929,RNA-Seq,33,1340558663,PRJNA340008,SAMN05629253,515341847,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX2044503,GSM2290754,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAK,ILLUMINA,2020-04-17T00:00:00Z,2016-09-14T16:01:00Z,1,GSM2290754,Pseudomonas aeruginosa PAK,SRP082706,PAK,0 min post infection
SRR4242930,RNA-Seq,75,1110570679,PRJNA340008,SAMN05629252,500825620,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX2044504,GSM2290755,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAK,ILLUMINA,2020-04-17T00:00:00Z,2016-09-14T15:59:00Z,1,GSM2290755,Pseudomonas aeruginosa PAK,SRP082706,PAK,13 min post infection
