Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,phage,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,time_point,phase_of_infection
SRR6502000,RNA-Seq,50,430663850,PRJNA430510,SAMN08375157,304247863,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX3590829,GSM2939974,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by no phage,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:51:00Z,1,GSM2939974,Cell Lysate,SRP131105,0min,
SRR6502001,RNA-Seq,50,385817600,PRJNA430510,SAMN08375156,271725448,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX3590830,GSM2939975,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by no phage,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:50:00Z,1,GSM2939975,Cell Lysate,SRP131105,0min,
SRR6502002,RNA-Seq,50,340961650,PRJNA430510,SAMN08375155,239028296,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX3590831,GSM2939976,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by no phage,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:50:00Z,1,GSM2939976,Cell Lysate,SRP131105,0min,
SRR6502003,RNA-Seq,50,398442450,PRJNA430510,SAMN08375154,278389115,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX3590832,GSM2939977,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by no phage,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:51:00Z,1,GSM2939977,Cell Lysate,SRP131105,0min,
SRR6502053,RNA-Seq,75,1151700458,PRJNA430510,SAMN08375135,481280199,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX3590852,GSM2939996,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by 14-1,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:55:00Z,1,GSM2939996,Cell Lysate,SRP131105,3min,Early
SRR6502054,RNA-Seq,75,1206773833,PRJNA430510,SAMN08375134,512034712,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX3590853,GSM2939997,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by 14-1,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:56:00Z,1,GSM2939997,Cell Lysate,SRP131105,3min,Early
SRR6502055,RNA-Seq,75,905753415,PRJNA430510,SAMN08375133,385853229,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3590854,GSM2939998,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by 14-1,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:56:00Z,1,GSM2939998,Cell Lysate,SRP131105,3min,Early
SRR6502056,RNA-Seq,50,402469050,PRJNA430510,SAMN08375132,283416106,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX3590855,GSM2939999,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by 14-1,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:53:00Z,1,GSM2939999,Cell Lysate,SRP131105,6min,Middle
SRR6502057,RNA-Seq,50,409110300,PRJNA430510,SAMN08375131,288884045,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX3590856,GSM2940000,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by 14-1,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:52:00Z,1,GSM2940000,Cell Lysate,SRP131105,6min,Middle
SRR6502058,RNA-Seq,50,428281550,PRJNA430510,SAMN08375130,302612390,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX3590857,GSM2940001,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by 14-1,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:52:00Z,1,GSM2940001,Cell Lysate,SRP131105,12min,Late
SRR6502059,RNA-Seq,50,354897800,PRJNA430510,SAMN08375129,250411384,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX3590858,GSM2940002,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by 14-1,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:52:00Z,1,GSM2940002,Cell Lysate,SRP131105,12min,Late
