Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,phage,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,time_point,phase_of_infection
SRR6502000,RNA-Seq,50,430663850,PRJNA430510,SAMN08375157,304247863,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX3590829,GSM2939974,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by no phage,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:51:00Z,1,GSM2939974,Cell Lysate,SRP131105,0min,
SRR6502001,RNA-Seq,50,385817600,PRJNA430510,SAMN08375156,271725448,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX3590830,GSM2939975,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by no phage,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:50:00Z,1,GSM2939975,Cell Lysate,SRP131105,0min,
SRR6502002,RNA-Seq,50,340961650,PRJNA430510,SAMN08375155,239028296,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX3590831,GSM2939976,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by no phage,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:50:00Z,1,GSM2939976,Cell Lysate,SRP131105,0min,
SRR6502003,RNA-Seq,50,398442450,PRJNA430510,SAMN08375154,278389115,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX3590832,GSM2939977,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by no phage,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:51:00Z,1,GSM2939977,Cell Lysate,SRP131105,0min,
SRR6502004,RNA-Seq,75,336375820,PRJNA430510,SAMN08375153,145273640,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX3590833,GSM2939978,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by LUZ19,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:51:00Z,1,GSM2939978,Cell Lysate,SRP131105,5min,Early
SRR6502005,RNA-Seq,75,334395409,PRJNA430510,SAMN08375153,145210487,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX3590833,GSM2939978,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by LUZ19,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:51:00Z,1,GSM2939978,Cell Lysate,SRP131105,5min,Early
SRR6502006,RNA-Seq,75,348004273,PRJNA430510,SAMN08375153,151124676,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX3590833,GSM2939978,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by LUZ19,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:51:00Z,1,GSM2939978,Cell Lysate,SRP131105,5min,Early
SRR6502007,RNA-Seq,75,339924525,PRJNA430510,SAMN08375153,145336868,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX3590833,GSM2939978,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by LUZ19,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:51:00Z,1,GSM2939978,Cell Lysate,SRP131105,5min,Early
SRR6502008,RNA-Seq,75,322069696,PRJNA430510,SAMN08375152,141075781,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX3590834,GSM2939979,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by LUZ19,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:51:00Z,1,GSM2939979,Cell Lysate,SRP131105,5min,Early
SRR6502009,RNA-Seq,75,319547708,PRJNA430510,SAMN08375152,140792186,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX3590834,GSM2939979,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,Infected by LUZ19,ILLUMINA,2018-01-26T00:00:00Z,2018-01-23T19:51:00Z,1,GSM2939979,Cell Lysate,SRP131105,5min,Early
