Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,culture_collection,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain
SRR7540975,RNA-Seq,327,514992042,PRJNA481888,SAMN09691998,"Microbe\, viral or environmental",216729095,COLLEGE OF WILLIAM AND MARY,not applicable,public,ATCC:15903,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX4408513,uncalculated,uncalculated,not applicable,Illumina MiSeq,not applicable,WC1-T120-1_R1_R2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Rhodococcus erythropolis,ILLUMINA,2018-07-19T00:00:00Z,2018-07-19T10:12:00Z,1,Rhodococcus erythropolis RIA-643,cell culture,SRP154435,ATCC 15903
SRR7540976,RNA-Seq,334,1227276170,PRJNA481888,SAMN09691998,"Microbe\, viral or environmental",527923183,COLLEGE OF WILLIAM AND MARY,not applicable,public,ATCC:15903,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX4408512,uncalculated,uncalculated,not applicable,Illumina MiSeq,not applicable,WC1-T60-2_R1_R2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Rhodococcus erythropolis,ILLUMINA,2018-07-19T00:00:00Z,2018-07-19T10:13:00Z,1,Rhodococcus erythropolis RIA-643,cell culture,SRP154435,ATCC 15903
SRR7540977,RNA-Seq,342,695218971,PRJNA481888,SAMN09691998,"Microbe\, viral or environmental",303772892,COLLEGE OF WILLIAM AND MARY,not applicable,public,ATCC:15903,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX4408511,uncalculated,uncalculated,not applicable,Illumina MiSeq,not applicable,WC1-T5-2_R1_R2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Rhodococcus erythropolis,ILLUMINA,2018-07-19T00:00:00Z,2018-07-19T10:12:00Z,1,Rhodococcus erythropolis RIA-643,cell culture,SRP154435,ATCC 15903
SRR7540978,RNA-Seq,346,1342200759,PRJNA481888,SAMN09691998,"Microbe\, viral or environmental",581295631,COLLEGE OF WILLIAM AND MARY,not applicable,public,ATCC:15903,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX4408510,uncalculated,uncalculated,not applicable,Illumina MiSeq,not applicable,WC1-T5-1_R1_R2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Rhodococcus erythropolis,ILLUMINA,2018-07-19T00:00:00Z,2018-07-19T10:13:00Z,1,Rhodococcus erythropolis RIA-643,cell culture,SRP154435,ATCC 15903
SRR7540979,RNA-Seq,340,681110856,PRJNA481888,SAMN09691998,"Microbe\, viral or environmental",298064770,COLLEGE OF WILLIAM AND MARY,not applicable,public,ATCC:15903,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX4408509,uncalculated,uncalculated,not applicable,Illumina MiSeq,not applicable,WC1-T0-2_R1_R2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Rhodococcus erythropolis,ILLUMINA,2018-07-19T00:00:00Z,2018-07-19T10:12:00Z,1,Rhodococcus erythropolis RIA-643,cell culture,SRP154435,ATCC 15903
SRR7540980,RNA-Seq,337,1103593479,PRJNA481888,SAMN09691998,"Microbe\, viral or environmental",481347909,COLLEGE OF WILLIAM AND MARY,not applicable,public,ATCC:15903,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX4408508,uncalculated,uncalculated,not applicable,Illumina MiSeq,not applicable,WC1-T0-1_R1_R2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Rhodococcus erythropolis,ILLUMINA,2018-07-19T00:00:00Z,2018-07-19T10:13:00Z,1,Rhodococcus erythropolis RIA-643,cell culture,SRP154435,ATCC 15903
SRR7540981,RNA-Seq,321,842642470,PRJNA481888,SAMN09691998,"Microbe\, viral or environmental",362661340,COLLEGE OF WILLIAM AND MARY,not applicable,public,ATCC:15903,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX4408507,uncalculated,uncalculated,not applicable,Illumina MiSeq,not applicable,WC1-T60-1_R1_R2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Rhodococcus erythropolis,ILLUMINA,2018-07-19T00:00:00Z,2018-07-19T10:12:00Z,1,Rhodococcus erythropolis RIA-643,cell culture,SRP154435,ATCC 15903
SRR7540982,RNA-Seq,318,897451635,PRJNA481888,SAMN09691998,"Microbe\, viral or environmental",384714692,COLLEGE OF WILLIAM AND MARY,not applicable,public,ATCC:15903,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX4408506,uncalculated,uncalculated,not applicable,Illumina MiSeq,not applicable,WC1-T30-2_R1_R2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Rhodococcus erythropolis,ILLUMINA,2018-07-19T00:00:00Z,2018-07-19T10:12:00Z,1,Rhodococcus erythropolis RIA-643,cell culture,SRP154435,ATCC 15903
SRR7540983,RNA-Seq,351,929681762,PRJNA481888,SAMN09691998,"Microbe\, viral or environmental",405977494,COLLEGE OF WILLIAM AND MARY,not applicable,public,ATCC:15903,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX4408505,uncalculated,uncalculated,not applicable,Illumina MiSeq,not applicable,WC1-T30-1_R1_R2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Rhodococcus erythropolis,ILLUMINA,2018-07-19T00:00:00Z,2018-07-19T10:12:00Z,1,Rhodococcus erythropolis RIA-643,cell culture,SRP154435,ATCC 15903
SRR7540984,RNA-Seq,343,605227234,PRJNA481888,SAMN09691998,"Microbe\, viral or environmental",262457201,COLLEGE OF WILLIAM AND MARY,not applicable,public,ATCC:15903,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX4408504,uncalculated,uncalculated,not applicable,Illumina MiSeq,not applicable,WC1-T15-1_R1_R2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Rhodococcus erythropolis,ILLUMINA,2018-07-19T00:00:00Z,2018-07-19T10:12:00Z,1,Rhodococcus erythropolis RIA-643,cell culture,SRP154435,ATCC 15903
