Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain
SRR8667464,RNA-Seq,142,1031074780,PRJNA524872,SAMN11037752,"Microbe\, viral or environmental",508440435,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2017-05-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5463543,USA,North America,USA,Illumina HiSeq 2500,Nahant Bay,Infected30Minutes,PAIRED,RT-PCR,TRANSCRIPTOMIC,Vibrio cyclitrophicus,ILLUMINA,2019-05-22T00:00:00Z,2019-03-12T12:34:00Z,1,Infected30Minutes,mixed culture,SRP187475,10N.286.54.E11
SRR8667465,RNA-Seq,142,1067737050,PRJNA524872,SAMN11037751,"Microbe\, viral or environmental",529300761,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2017-05-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5463542,USA,North America,USA,Illumina HiSeq 2500,Nahant Bay,Infected15Minutes,PAIRED,RT-PCR,TRANSCRIPTOMIC,Vibrio cyclitrophicus,ILLUMINA,2019-05-22T00:00:00Z,2019-03-12T12:42:00Z,1,Infected15Minutes,mixed culture,SRP187475,10N.286.54.E11
SRR8667466,RNA-Seq,142,2107233566,PRJNA524872,SAMN11037750,"Microbe\, viral or environmental",1025129341,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2017-05-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5463541,USA,North America,USA,Illumina HiSeq 2500,Nahant Bay,Infected0Minutes,PAIRED,RT-PCR,TRANSCRIPTOMIC,Vibrio cyclitrophicus,ILLUMINA,2019-05-22T00:00:00Z,2019-03-12T13:17:00Z,1,Infected0Minutes,mixed culture,SRP187475,10N.286.54.E11
SRR8667467,RNA-Seq,142,981646000,PRJNA524872,SAMN11037749,"Microbe\, viral or environmental",484265374,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2017-05-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5463540,USA,North America,USA,Illumina HiSeq 2500,Nahant Bay,Control60Minutes,PAIRED,RT-PCR,TRANSCRIPTOMIC,Vibrio cyclitrophicus,ILLUMINA,2019-05-22T00:00:00Z,2019-03-12T12:33:00Z,1,Control60Minutes,cell culture,SRP187475,10N.286.54.E11
SRR8667468,RNA-Seq,142,1037324058,PRJNA524872,SAMN11037748,"Microbe\, viral or environmental",513662441,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2017-05-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5463539,USA,North America,USA,Illumina HiSeq 2500,Nahant Bay,Control45Minutes,PAIRED,RT-PCR,TRANSCRIPTOMIC,Vibrio cyclitrophicus,ILLUMINA,2019-05-22T00:00:00Z,2019-03-12T12:37:00Z,1,Control45Minutes,cell culture,SRP187475,10N.286.54.E11
SRR8667469,RNA-Seq,142,1136706308,PRJNA524872,SAMN11037717,"Microbe\, viral or environmental",562448218,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2017-05-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5463538,USA,North America,USA,Illumina HiSeq 2500,Nahant Bay,Control30Minutes,PAIRED,RT-PCR,TRANSCRIPTOMIC,Vibrio cyclitrophicus,ILLUMINA,2019-05-22T00:00:00Z,2019-03-12T12:39:00Z,1,Control30Minutes,cell culture,SRP187475,10N.286.54.E11
SRR8667470,RNA-Seq,142,1090218206,PRJNA524872,SAMN11037715,"Microbe\, viral or environmental",533884362,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2017-05-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5463537,USA,North America,USA,Illumina HiSeq 2500,Nahant Bay,Control15Minutes,PAIRED,RT-PCR,TRANSCRIPTOMIC,Vibrio cyclitrophicus,ILLUMINA,2019-05-22T00:00:00Z,2019-03-12T12:47:00Z,1,Control15Minutes,cell culture,SRP187475,10N.286.54.E11
SRR8667471,RNA-Seq,142,1321496588,PRJNA524872,SAMN11037689,"Microbe\, viral or environmental",648208401,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2017-05-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5463536,USA,North America,USA,Illumina HiSeq 2500,Nahant Bay,Control0Minutes,PAIRED,RT-PCR,TRANSCRIPTOMIC,Vibrio cyclitrophicus,ILLUMINA,2019-05-22T00:00:00Z,2019-03-12T12:58:00Z,1,Control0Minutes,cell culture,SRP187475,10N.286.54.E11
SRR8667472,RNA-Seq,142,1100089762,PRJNA524872,SAMN11037756,"Microbe\, viral or environmental",545374432,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2017-05-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5463535,USA,North America,USA,Illumina HiSeq 2500,Nahant Bay,Infected60Minutes,PAIRED,RT-PCR,TRANSCRIPTOMIC,Vibrio cyclitrophicus,ILLUMINA,2019-05-22T00:00:00Z,2019-03-12T12:37:00Z,1,Infected60Minutes,mixed culture,SRP187475,10N.286.54.E11
SRR8667473,RNA-Seq,142,923135042,PRJNA524872,SAMN11037754,"Microbe\, viral or environmental",453402977,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2017-05-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5463534,USA,North America,USA,Illumina HiSeq 2500,Nahant Bay,Infected45Minutes,PAIRED,RT-PCR,TRANSCRIPTOMIC,Vibrio cyclitrophicus,ILLUMINA,2019-05-22T00:00:00Z,2019-03-12T12:30:00Z,1,Infected45Minutes,mixed culture,SRP187475,10N.286.54.E11
