Run,agent,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),HOST,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR8835832,--,RNA-Seq,302,4781064378,PRJNA530399,SAMN11316567,2070646233,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5624063,GSM3702027,Pseudomonas aeruginosa PA3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-10-02T00:00:00Z,2019-04-02T09:21:00Z,1,GSM3702027,Transcriptome without phage infection,SRP190130
SRR8835833,--,RNA-Seq,302,4511432738,PRJNA530399,SAMN11316566,1922746226,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5624064,GSM3702028,Pseudomonas aeruginosa PA3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-10-02T00:00:00Z,2019-04-02T09:19:00Z,1,GSM3702028,Transcriptome without phage infection,SRP190130
SRR8835834,--,RNA-Seq,302,4314734400,PRJNA530399,SAMN11316565,2088811181,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5624065,GSM3702029,Pseudomonas aeruginosa PA3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-10-02T00:00:00Z,2019-04-02T09:19:00Z,1,GSM3702029,Transcriptome without phage infection,SRP190130
SRR8835835,Pseudomonas aeruginosa bacteriophage PaP3,RNA-Seq,302,4245969302,PRJNA530399,SAMN11316564,1806175136,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5624066,GSM3702030,Pseudomonas aeruginosa PA3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-10-02T00:00:00Z,2019-04-02T09:20:00Z,1,GSM3702030,Transcriptome after phage infection of 5min,SRP190130
SRR8835836,Pseudomonas aeruginosa bacteriophage PaP3,RNA-Seq,302,4979221980,PRJNA530399,SAMN11316563,2176893674,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5624067,GSM3702031,Pseudomonas aeruginosa PA3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-10-02T00:00:00Z,2019-04-02T09:20:00Z,1,GSM3702031,Transcriptome after phage infection of 5min,SRP190130
SRR8835837,Pseudomonas aeruginosa bacteriophage PaP3,RNA-Seq,302,4209572866,PRJNA530399,SAMN11316562,2062326771,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5624068,GSM3702032,Pseudomonas aeruginosa PA3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-10-02T00:00:00Z,2019-04-02T09:20:00Z,1,GSM3702032,Transcriptome after phage infection of 5min,SRP190130
SRR8835838,Pseudomonas aeruginosa bacteriophage PaP3,RNA-Seq,302,4966149004,PRJNA530399,SAMN11316561,2182111957,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5624069,GSM3702033,Pseudomonas aeruginosa PA3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-10-02T00:00:00Z,2019-04-02T09:20:00Z,1,GSM3702033,Transcriptome after phage infection of 10min,SRP190130
SRR8835839,Pseudomonas aeruginosa bacteriophage PaP3,RNA-Seq,302,4585908052,PRJNA530399,SAMN11316560,1991695021,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5624070,GSM3702034,Pseudomonas aeruginosa PA3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-10-02T00:00:00Z,2019-04-02T09:21:00Z,1,GSM3702034,Transcriptome after phage infection of 10min,SRP190130
SRR8835840,Pseudomonas aeruginosa bacteriophage PaP3,RNA-Seq,302,4220912664,PRJNA530399,SAMN11316557,2100791792,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5624071,GSM3702035,Pseudomonas aeruginosa PA3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-10-02T00:00:00Z,2019-04-02T09:20:00Z,1,GSM3702035,Transcriptome after phage infection of 10min,SRP190130
SRR8835841,Pseudomonas aeruginosa bacteriophage PaP3,RNA-Seq,302,4625578168,PRJNA530399,SAMN11316556,2002146097,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5624072,GSM3702036,Pseudomonas aeruginosa PA3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-10-02T00:00:00Z,2019-04-02T09:21:00Z,1,GSM3702036,Transcriptome after phage infection of 20min,SRP190130
