Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),infection_time,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR8948477,RNA-Seq,74,1151951438,PRJNA534259,SAMN11482263,506250008,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX5728470,GSM3733631,5 minutes,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-06-05T00:00:00Z,2019-04-24T02:11:00Z,1,GSM3733631,Pseudomonas aeruginosa PAO1 growing exponentially in LB synchronoulsy infected with phage PA5oct,SRP193631
SRR8948478,RNA-Seq,232,1630112132,PRJNA534259,SAMN11482262,797515600,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX5728471,GSM3733632,5 minutes,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-06-05T00:00:00Z,2019-04-24T02:10:00Z,1,GSM3733632,Pseudomonas aeruginosa PAO1 growing exponentially in LB synchronoulsy infected with phage PA5oct,SRP193631
SRR8948479,RNA-Seq,224,1568422288,PRJNA534259,SAMN11482261,764277824,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX5728472,GSM3733633,5 minutes,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-06-05T00:00:00Z,2019-04-24T02:10:00Z,1,GSM3733633,Pseudomonas aeruginosa PAO1 growing exponentially in LB synchronoulsy infected with phage PA5oct,SRP193631
SRR8948480,RNA-Seq,74,1286627266,PRJNA534259,SAMN11482260,580290079,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX5728473,GSM3733634,15 minutes,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-06-05T00:00:00Z,2019-04-24T02:11:00Z,1,GSM3733634,Pseudomonas aeruginosa PAO1 growing exponentially in LB synchronoulsy infected with phage PA5oct,SRP193631
SRR8948481,RNA-Seq,249,1745869825,PRJNA534259,SAMN11482259,860120632,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX5728474,GSM3733635,15 minutes,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-06-05T00:00:00Z,2019-04-24T02:10:00Z,1,GSM3733635,Pseudomonas aeruginosa PAO1 growing exponentially in LB synchronoulsy infected with phage PA5oct,SRP193631
SRR8948482,RNA-Seq,251,1757995756,PRJNA534259,SAMN11482353,881491243,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX5728475,GSM3733636,15 minutes,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-06-05T00:00:00Z,2019-04-24T02:10:00Z,1,GSM3733636,Pseudomonas aeruginosa PAO1 growing exponentially in LB synchronoulsy infected with phage PA5oct,SRP193631
SRR8948483,RNA-Seq,74,1297140513,PRJNA534259,SAMN11482352,591750039,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX5728476,GSM3733637,25 minutes,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-06-05T00:00:00Z,2019-04-24T02:11:00Z,1,GSM3733637,Pseudomonas aeruginosa PAO1 growing exponentially in LB synchronoulsy infected with phage PA5oct,SRP193631
SRR8948484,RNA-Seq,250,1754835753,PRJNA534259,SAMN11482351,865772005,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX5728477,GSM3733638,25 minutes,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-06-05T00:00:00Z,2019-04-24T02:10:00Z,1,GSM3733638,Pseudomonas aeruginosa PAO1 growing exponentially in LB synchronoulsy infected with phage PA5oct,SRP193631
SRR8948485,RNA-Seq,248,1740421435,PRJNA534259,SAMN11482350,861906961,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX5728478,GSM3733639,25 minutes,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-06-05T00:00:00Z,2019-04-24T02:10:00Z,1,GSM3733639,Pseudomonas aeruginosa PAO1 growing exponentially in LB synchronoulsy infected with phage PA5oct,SRP193631
SRR8948486,RNA-Seq,50,340961650,PRJNA534259,SAMN11482349,222837069,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX5728479,GSM3733640,0 min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-06-05T00:00:00Z,2019-04-24T02:08:00Z,1,GSM3733640,Pseudomonas aeruginosa PAO1 growing exponentially in LB,SRP193631
