Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time
SRR9280686,RNA-Seq,126,222529333,PRJNA548534,SAMN12039424,98338933,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050411,GSM3881034,bacteriophage SpSL1,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:19:00Z,1,GSM3881034,Bacterial Culture,SRP201223,10 Minutes
SRR9280687,RNA-Seq,136,218029819,PRJNA548534,SAMN12039424,93734746,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050411,GSM3881034,bacteriophage SpSL1,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:19:00Z,1,GSM3881034,Bacterial Culture,SRP201223,10 Minutes
SRR9280688,RNA-Seq,130,225367658,PRJNA548534,SAMN12039424,100771864,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050411,GSM3881034,bacteriophage SpSL1,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:19:00Z,1,GSM3881034,Bacterial Culture,SRP201223,10 Minutes
SRR9280689,RNA-Seq,129,206525626,PRJNA548534,SAMN12039423,90276093,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050412,GSM3881035,bacteriophage SpSL1,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:19:00Z,1,GSM3881035,Bacterial Culture,SRP201223,50 Minutes
SRR9280690,RNA-Seq,120,204072335,PRJNA548534,SAMN12039423,91397128,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050412,GSM3881035,bacteriophage SpSL1,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:19:00Z,1,GSM3881035,Bacterial Culture,SRP201223,50 Minutes
SRR9280691,RNA-Seq,120,223080768,PRJNA548534,SAMN12039423,98963151,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050412,GSM3881035,bacteriophage SpSL1,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:20:00Z,1,GSM3881035,Bacterial Culture,SRP201223,50 Minutes
SRR9280692,RNA-Seq,129,165307785,PRJNA548534,SAMN12039421,72394325,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050413,GSM3881036,bacteriophage SpSL1,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:19:00Z,1,GSM3881036,Bacterial Culture,SRP201223,90 Minutes
SRR9280693,RNA-Seq,134,231609401,PRJNA548534,SAMN12039421,100598259,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050413,GSM3881036,bacteriophage SpSL1,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:19:00Z,1,GSM3881036,Bacterial Culture,SRP201223,90 Minutes
SRR9280694,RNA-Seq,129,185633496,PRJNA548534,SAMN12039421,83544532,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050413,GSM3881036,bacteriophage SpSL1,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:20:00Z,1,GSM3881036,Bacterial Culture,SRP201223,90 Minutes
SRR9280695,RNA-Seq,131,270544818,PRJNA548534,SAMN12039420,117340630,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050414,GSM3881037,control,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:20:00Z,1,GSM3881037,Bacterial Culture,SRP201223,control
SRR9280696,RNA-Seq,134,266943183,PRJNA548534,SAMN12039420,115177749,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050414,GSM3881037,control,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:20:00Z,1,GSM3881037,Bacterial Culture,SRP201223,control
SRR9280697,RNA-Seq,135,211676887,PRJNA548534,SAMN12039420,91300104,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050414,GSM3881037,control,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:19:00Z,1,GSM3881037,Bacterial Culture,SRP201223,control
SRR9280698,RNA-Seq,128,291784771,PRJNA548534,SAMN12039342,127456653,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050415,GSM3881038,control,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:20:00Z,1,GSM3881038,Bacterial Culture,SRP201223,control
SRR9280699,RNA-Seq,136,190004160,PRJNA548534,SAMN12039342,81525457,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050415,GSM3881038,control,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:19:00Z,1,GSM3881038,Bacterial Culture,SRP201223,control
SRR9280700,RNA-Seq,129,278588146,PRJNA548534,SAMN12039342,121257689,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6050415,GSM3881038,control,Illumina MiSeq,SINGLE,cDNA,TRANSCRIPTOMIC,Streptococcus pneumoniae,ILLUMINA,2019-06-13T00:00:00Z,2019-06-12T15:20:00Z,1,GSM3881038,Bacterial Culture,SRP201223,control
