Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,time_point_post_infection,condition
SRR11232747,RNA-Seq,147,590891657,PRJNA610075,SAMN14277337,219570018,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7844630,GSM4377780,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Yersinia ruckeri,ILLUMINA,2020-03-05T00:00:00Z,2020-03-03T18:17:00Z,1,GSM4377780,liquid culture,SRP251610,0 (Negative control),
SRR11232748,RNA-Seq,150,674907939,PRJNA610075,SAMN14277336,257654533,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX7844631,GSM4377781,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Yersinia ruckeri,ILLUMINA,2020-03-05T00:00:00Z,2020-03-03T18:18:00Z,1,GSM4377781,liquid culture,SRP251610,1 (Negative control),
SRR11232749,RNA-Seq,150,728202783,PRJNA610075,SAMN14277335,295072046,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX7844632,GSM4377782,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Yersinia ruckeri,ILLUMINA,2020-03-05T00:00:00Z,2020-03-03T18:18:00Z,1,GSM4377782,liquid culture,SRP251610,2 (Negative control),
SRR11232750,RNA-Seq,228,1584400045,PRJNA610075,SAMN14277334,864501928,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX7844633,GSM4377783,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Yersinia ruckeri,ILLUMINA,2020-03-05T00:00:00Z,2020-03-03T18:20:00Z,1,GSM4377783,liquid culture,SRP251610,3 (Negative control),
SRR11232751,RNA-Seq,186,842821813,PRJNA610075,SAMN14277333,432255682,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX7844634,GSM4377784,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Yersinia ruckeri,ILLUMINA,2020-03-05T00:00:00Z,2020-03-03T18:18:00Z,1,GSM4377784,liquid culture,SRP251610,5,infected with bacteriophage YerA41
SRR11232752,RNA-Seq,150,637614949,PRJNA610075,SAMN14277332,236268399,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX7844635,GSM4377785,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Yersinia ruckeri,ILLUMINA,2020-03-05T00:00:00Z,2020-03-03T18:18:00Z,1,GSM4377785,liquid culture,SRP251610,15,infected with bacteriophage YerA41
SRR11232753,RNA-Seq,150,588043806,PRJNA610075,SAMN14277331,218373158,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX7844636,GSM4377786,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Yersinia ruckeri,ILLUMINA,2020-03-05T00:00:00Z,2020-03-03T18:18:00Z,1,GSM4377786,liquid culture,SRP251610,15,infected with bacteriophage YerA41
SRR11232754,RNA-Seq,149,763862763,PRJNA610075,SAMN14277330,309967856,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX7844637,GSM4377787,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Yersinia ruckeri,ILLUMINA,2020-03-05T00:00:00Z,2020-03-03T18:18:00Z,1,GSM4377787,liquid culture,SRP251610,15,infected with bacteriophage YerA41
SRR11232755,RNA-Seq,238,1179136158,PRJNA610075,SAMN14277329,643538516,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX7844638,GSM4377788,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Yersinia ruckeri,ILLUMINA,2020-03-05T00:00:00Z,2020-03-03T18:19:00Z,1,GSM4377788,liquid culture,SRP251610,15,infected with bacteriophage YerA41
SRR11232756,RNA-Seq,148,606197367,PRJNA610075,SAMN14277328,224603310,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX7844639,GSM4377789,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Yersinia ruckeri,ILLUMINA,2020-03-05T00:00:00Z,2020-03-03T18:18:00Z,1,GSM4377789,liquid culture,SRP251610,30,infected with bacteriophage YerA41
