Run,Assay Type,AvgSpotLen,background_strain,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,GEO_Accession (exp),infection_time,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Replicate_number,create_date,version,Sample Name,source_name,SRA Study,strain_id,substrain,treatment,phage_name
SRR14366198,RNA-Seq,202,MG1655,4922378622,PRJNA726266,SAMN18927123,1426378825,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX10718742,dksA::Tn10,GSM5272634,0 min = no phage,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,ILLUMINA,2021-04-30T00:00:00Z,experiment 1,2021-04-29T23:18:00Z,1,GSM5272634,mammalians intestine,SRP317923,CF9240,MG1655,untreated,
SRR14366199,RNA-Seq,202,MG1655,7605476750,PRJNA726266,SAMN18927122,2251072273,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX10718743,dksA::Tn10,GSM5272635,0 min = no phage,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,ILLUMINA,2021-04-30T00:00:00Z,experiment 2,2021-04-30T07:17:00Z,1,GSM5272635,mammalians intestine,SRP317923,CF9240,MG1655,untreated,
SRR14366200,RNA-Seq,202,MG1655,10044458888,PRJNA726266,SAMN18927121,2931029507,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX10718744,dksA::Tn10,GSM5272636,0 min = no phage,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,ILLUMINA,2021-04-30T00:00:00Z,experiment 3,2021-04-30T09:53:00Z,1,GSM5272636,mammalians intestine,SRP317923,CF9240,MG1655,untreated,
SRR14366201,RNA-Seq,202,MG1655,7088712068,PRJNA726266,SAMN18927120,2103610576,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX10718745,dksA::Tn10,GSM5272637,10 min,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,ILLUMINA,2021-04-30T00:00:00Z,experiment 1,2021-04-30T00:50:00Z,1,GSM5272637,mammalians intestine,SRP317923,CF9240,MG1655,infected with P1vir phage,Bacteriophage P1vir
SRR14366202,RNA-Seq,202,MG1655,7234644140,PRJNA726266,SAMN18927119,2128860638,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX10718746,dksA::Tn10,GSM5272638,10 min,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,ILLUMINA,2021-04-30T00:00:00Z,experiment 2,2021-04-30T00:39:00Z,1,GSM5272638,mammalians intestine,SRP317923,CF9240,MG1655,infected with P1vir phage,Bacteriophage P1vir
SRR14366203,RNA-Seq,202,MG1655,7504135976,PRJNA726266,SAMN18927118,2203694627,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX10718747,dksA::Tn10,GSM5272639,10 min,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,ILLUMINA,2021-04-30T00:00:00Z,experiment 3,2021-04-30T09:18:00Z,1,GSM5272639,mammalians intestine,SRP317923,CF9240,MG1655,infected with P1vir phage,Bacteriophage P1vir
SRR14366204,RNA-Seq,202,MG1655,6546226120,PRJNA726266,SAMN18927117,1934013418,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX10718748,dksA::Tn10,GSM5272640,30 min,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,ILLUMINA,2021-04-30T00:00:00Z,experiment 1,2021-04-30T00:24:00Z,1,GSM5272640,mammalians intestine,SRP317923,CF9240,MG1655,infected with P1vir phage,Bacteriophage P1vir
SRR14366205,RNA-Seq,202,MG1655,6469989906,PRJNA726266,SAMN18927116,1901375709,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX10718749,dksA::Tn10,GSM5272641,30 min,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,ILLUMINA,2021-04-30T00:00:00Z,experiment 2,2021-04-30T00:14:00Z,1,GSM5272641,mammalians intestine,SRP317923,CF9240,MG1655,infected with P1vir phage,Bacteriophage P1vir
SRR14366206,RNA-Seq,202,MG1655,6530081270,PRJNA726266,SAMN18927115,1939406456,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX10718750,dksA::Tn10,GSM5272642,30 min,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,ILLUMINA,2021-04-30T00:00:00Z,experiment 3,2021-04-30T00:13:00Z,1,GSM5272642,mammalians intestine,SRP317923,CF9240,MG1655,infected with P1vir phage,Bacteriophage P1vir
SRR14366207,RNA-Seq,202,MG1655,7287701460,PRJNA726266,SAMN18927114,2157332658,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX10718751,wild type,GSM5272643,0 min = no phage,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,ILLUMINA,2021-04-30T00:00:00Z,experiment 1,2021-04-30T07:07:00Z,1,GSM5272643,mammalians intestine,SRP317923,CF1648,MG1655,untreated,
