Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,time
SRR17196365,RNA-Seq,76,1057547372,PRJNA787900,SAMN23849066,433771809,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX13376825,GSM5726888,before infection,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:14:00Z,1,GSM5726888,Staphylococcus aureus SH1000 growing exponentionally in MPB,SRP350254,SH1000,before infection
SRR17196366,RNA-Seq,76,1092607464,PRJNA787900,SAMN23849067,452952701,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX13376826,GSM5726889,before infection,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:14:00Z,1,GSM5726889,Staphylococcus aureus SH1000 growing exponentionally in MPB,SRP350254,SH1000,before infection
SRR17196367,RNA-Seq,76,964420620,PRJNA787900,SAMN23849068,399683790,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX13376827,GSM5726890,before infection,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726890,Staphylococcus aureus SH1000 growing exponentionally in MPB,SRP350254,SH1000,before infection
SRR17196368,RNA-Seq,76,948685732,PRJNA787900,SAMN23849069,389404558,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX13376828,GSM5726891,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:11:00Z,1,GSM5726891,Staphylococcus aureus SH1000 growing exponentionally in MPB infected with phage K,SRP350254,SH1000,0 min
SRR17196369,RNA-Seq,76,870143988,PRJNA787900,SAMN23849070,359081229,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX13376829,GSM5726892,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726892,Staphylococcus aureus SH1000 growing exponentionally in MPB infected with phage K,SRP350254,SH1000,0 min
SRR17196370,RNA-Seq,76,664394584,PRJNA787900,SAMN23849071,277362355,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX13376830,GSM5726893,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726893,Staphylococcus aureus SH1000 growing exponentionally in MPB infected with phage K,SRP350254,SH1000,0 min
SRR17196371,RNA-Seq,76,1042490860,PRJNA787900,SAMN23849072,427405212,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX13376831,GSM5726894,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:13:00Z,1,GSM5726894,Staphylococcus aureus SH1000 growing exponentionally in MPB infected with phage K,SRP350254,SH1000,2 min
SRR17196372,RNA-Seq,76,722015276,PRJNA787900,SAMN23849073,299843267,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX13376832,GSM5726895,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726895,Staphylococcus aureus SH1000 growing exponentionally in MPB infected with phage K,SRP350254,SH1000,2 min
SRR17196373,RNA-Seq,76,1012488568,PRJNA787900,SAMN23849074,421511286,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX13376833,GSM5726896,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:13:00Z,1,GSM5726896,Staphylococcus aureus SH1000 growing exponentionally in MPB infected with phage K,SRP350254,SH1000,2 min
SRR17196374,RNA-Seq,76,877477988,PRJNA787900,SAMN23849075,359359570,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX13376834,GSM5726897,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:13:00Z,1,GSM5726897,Staphylococcus aureus SH1000 growing exponentionally in MPB infected with phage K,SRP350254,SH1000,5 min
SRR17196375,RNA-Seq,76,907151884,PRJNA787900,SAMN23849076,375998964,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX13376835,GSM5726898,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:13:00Z,1,GSM5726898,Staphylococcus aureus SH1000 growing exponentionally in MPB infected with phage K,SRP350254,SH1000,5 min
SRR17196376,RNA-Seq,76,905050940,PRJNA787900,SAMN23849077,374932237,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX13376836,GSM5726899,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726899,Staphylococcus aureus SH1000 growing exponentionally in MPB infected with phage K,SRP350254,SH1000,5 min
SRR17196377,RNA-Seq,76,789524632,PRJNA787900,SAMN23849078,324360742,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX13376837,GSM5726900,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726900,Staphylococcus aureus SH1000 growing exponentionally in MPB infected with phage K,SRP350254,SH1000,10 min
SRR17196378,RNA-Seq,76,982445312,PRJNA787900,SAMN23849079,404336443,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX13376838,GSM5726901,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:13:00Z,1,GSM5726901,Staphylococcus aureus SH1000 growing exponentionally in MPB infected with phage K,SRP350254,SH1000,10 min
SRR17196379,RNA-Seq,76,851281396,PRJNA787900,SAMN23849080,352605672,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX13376839,GSM5726902,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:11:00Z,1,GSM5726902,Staphylococcus aureus SH1000 growing exponentionally in MPB infected with phage K,SRP350254,SH1000,10 min
SRR17196380,RNA-Seq,76,959809320,PRJNA787900,SAMN23849053,393911256,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX13376840,GSM5726903,Staphylococcus virus K,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Staphylococcus aureus,ILLUMINA,2022-03-24T00:00:00Z,2021-12-10T15:12:00Z,1,GSM5726903,Staphylococcus aureus SH1000 growing exponentionally in MPB infected with phage K,SRP350254,SH1000,20 min
