Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isol_growth_condt,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,num_replicons,Organism,Platform,ref_biomaterial,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR17937333,RNA-Seq,300,3549408300,PRJNA804221,SAMN25716598,"MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated",1089399783,UNIVERSITY OF CAEN NORMANDY,2021-10,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Not specify,Not specify,MRS broth,SRX14095251,France,Europe,France,Bacteria,Illumina HiSeq X,missing,RNAseq_T60_1,49.118 N 0.370 W,T60-1,PAIRED,unspecified,TRANSCRIPTOMIC,missing,Liquorilactobacillus mali,ILLUMINA,missing,2023-01-01T00:00:00Z,2022-02-08T11:11:00Z,1,RNAseq_T60_1,SRP358873,missing
SRR17937334,RNA-Seq,300,4203669900,PRJNA804221,SAMN25716597,"MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated",1295797904,UNIVERSITY OF CAEN NORMANDY,2021-10,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Not specify,Not specify,MRS broth,SRX14095250,France,Europe,France,Bacteria,Illumina HiSeq X,missing,RNAseq_T15P_3,49.118 N 0.370 W,T15P-3,PAIRED,unspecified,TRANSCRIPTOMIC,missing,Liquorilactobacillus mali,ILLUMINA,missing,2023-01-01T00:00:00Z,2022-02-08T11:12:00Z,1,RNAseq_T15P_3,SRP358873,missing
SRR17937335,RNA-Seq,300,3555919800,PRJNA804221,SAMN25716596,"MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated",1106492906,UNIVERSITY OF CAEN NORMANDY,2021-10,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Not specify,Not specify,MRS broth,SRX14095249,France,Europe,France,Bacteria,Illumina HiSeq X,missing,RNAseq_T15P_2,49.118 N 0.370 W,T15P-2,PAIRED,unspecified,TRANSCRIPTOMIC,missing,Liquorilactobacillus mali,ILLUMINA,missing,2023-01-01T00:00:00Z,2022-02-08T11:13:00Z,1,RNAseq_T15P_2,SRP358873,missing
SRR17937336,RNA-Seq,300,4211704800,PRJNA804221,SAMN25716595,"MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated",1311835032,UNIVERSITY OF CAEN NORMANDY,2021-10,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Not specify,Not specify,MRS broth,SRX14095248,France,Europe,France,Bacteria,Illumina HiSeq X,missing,RNAseq_T15P_1,49.118 N 0.370 W,T15P-1,PAIRED,unspecified,TRANSCRIPTOMIC,missing,Liquorilactobacillus mali,ILLUMINA,missing,2023-01-01T00:00:00Z,2022-02-08T11:12:00Z,1,RNAseq_T15P_1,SRP358873,missing
SRR17937337,RNA-Seq,300,4768177200,PRJNA804221,SAMN25716594,"MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated",1477144225,UNIVERSITY OF CAEN NORMANDY,2021-10,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Not specify,Not specify,MRS broth,SRX14095247,France,Europe,France,Bacteria,Illumina HiSeq X,missing,RNAseq_T15_3,49.118 N 0.370 W,T15-3,PAIRED,unspecified,TRANSCRIPTOMIC,missing,Liquorilactobacillus mali,ILLUMINA,missing,2023-01-01T00:00:00Z,2022-02-08T11:26:00Z,1,RNAseq_T15_3,SRP358873,missing
SRR17937338,RNA-Seq,300,3851996700,PRJNA804221,SAMN25716593,"MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated",1186165091,UNIVERSITY OF CAEN NORMANDY,2021-10,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Not specify,Not specify,MRS broth,SRX14095246,France,Europe,France,Bacteria,Illumina HiSeq X,missing,RNAseq_T15_2,49.118 N 0.370 W,T15-2,PAIRED,unspecified,TRANSCRIPTOMIC,missing,Liquorilactobacillus mali,ILLUMINA,missing,2023-01-01T00:00:00Z,2022-02-08T11:13:00Z,1,RNAseq_T15_2,SRP358873,missing
SRR17937339,RNA-Seq,300,4785800700,PRJNA804221,SAMN25716592,"MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated",1467871092,UNIVERSITY OF CAEN NORMANDY,2021-10,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Not specify,Not specify,MRS broth,SRX14095245,France,Europe,France,Bacteria,Illumina HiSeq X,missing,RNAseq_T15_1,49.118 N 0.370 W,T15-1,PAIRED,unspecified,TRANSCRIPTOMIC,missing,Liquorilactobacillus mali,ILLUMINA,missing,2023-01-01T00:00:00Z,2022-02-08T11:14:00Z,1,RNAseq_T15_1,SRP358873,missing
SRR17937340,RNA-Seq,300,4519467300,PRJNA804221,SAMN25716591,"MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated",1397902675,UNIVERSITY OF CAEN NORMANDY,2021-10,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Not specify,Not specify,MRS broth,SRX14095244,France,Europe,France,Bacteria,Illumina HiSeq X,missing,RNAseq_T0_3,49.118 N 0.370 W,T0-3,PAIRED,unspecified,TRANSCRIPTOMIC,missing,Liquorilactobacillus mali,ILLUMINA,missing,2023-01-01T00:00:00Z,2022-02-08T11:15:00Z,1,RNAseq_T0_3,SRP358873,missing
SRR17937341,RNA-Seq,300,4955357700,PRJNA804221,SAMN25716603,"MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated",1529602066,UNIVERSITY OF CAEN NORMANDY,2021-10,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Not specify,Not specify,MRS broth,SRX14095243,France,Europe,France,Bacteria,Illumina HiSeq X,missing,RNAseq_T60P_3,49.118 N 0.370 W,T60P-3,PAIRED,unspecified,TRANSCRIPTOMIC,missing,Liquorilactobacillus mali,ILLUMINA,missing,2023-01-01T00:00:00Z,2022-02-08T11:17:00Z,1,RNAseq_T60P_3,SRP358873,missing
SRR17937342,RNA-Seq,300,6024210300,PRJNA804221,SAMN25716602,"MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated",1857205837,UNIVERSITY OF CAEN NORMANDY,2021-10,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Not specify,Not specify,MRS broth,SRX14095242,France,Europe,France,Bacteria,Illumina HiSeq X,missing,RNAseq_T60P_2,49.118 N 0.370 W,T60P-2,PAIRED,unspecified,TRANSCRIPTOMIC,missing,Liquorilactobacillus mali,ILLUMINA,missing,2023-01-01T00:00:00Z,2022-02-08T11:14:00Z,1,RNAseq_T60P_2,SRP358873,missing
