Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,num_replicons,Organism,Platform,ref_biomaterial,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,strain
SRR18021454,RNA-Seq,602,1089474316,PRJNA806967,SAMN25944589,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",661941765,UNIVERSITY OF MONTANA,2021-06,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Lysogeny broth with shaking 37 degrees C,LB broth + 50 mM putrescine replicate 3,not collected,SRX14175611,USA,North America,"USA: Missoula\, Montana",not collected,Illumina MiSeq,not collected,not collected,LBPUT3,PAIRED,RANDOM,TRANSCRIPTOMIC,not applicable,Pseudomonas aeruginosa PAO1,ILLUMINA,not applicable,2023-02-07T00:00:00Z,3,2022-02-14T19:55:00Z,1,PC_6_L001-PAO1-PUT-Rep3,SRP359800,PAO1
SRR18021455,RNA-Seq,602,785729798,PRJNA806967,SAMN25944588,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",472578477,UNIVERSITY OF MONTANA,2021-06,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",Lysogeny broth with shaking 37 degrees C,LB broth + 50 mM putrescine replicate 2,not collected,SRX14175610,USA,North America,"USA: Missoula\, Montana",not collected,Illumina MiSeq,not collected,not collected,LBPUT2,PAIRED,RANDOM,TRANSCRIPTOMIC,not applicable,Pseudomonas aeruginosa PAO1,ILLUMINA,not applicable,2023-02-07T00:00:00Z,2,2022-02-14T19:54:00Z,1,PC_5_L001-PAO1-PUT-Rep2,SRP359800,PAO1
SRR18021456,RNA-Seq,602,497084644,PRJNA806967,SAMN25944587,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",298716276,UNIVERSITY OF MONTANA,2021-06,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Lysogeny broth with shaking 37 degrees C,LB broth repicate 4,not collected,SRX14175609,USA,North America,"USA: Missoula\, Montana",not collected,Illumina MiSeq,not collected,not collected,LBnoPut4,PAIRED,RANDOM,TRANSCRIPTOMIC,not applicable,Pseudomonas aeruginosa PAO1,ILLUMINA,not applicable,2023-02-07T00:00:00Z,4,2022-02-14T19:54:00Z,1,PC_4_L001-PAO1-LB-Rep4,SRP359800,PAO1
SRR18021457,RNA-Seq,602,1113454986,PRJNA806967,SAMN25944586,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",671532595,UNIVERSITY OF MONTANA,2021-06,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Lysogeny broth with shaking 37 degrees C,LB broth repicate 3,not collected,SRX14175608,USA,North America,"USA: Missoula\, Montana",not collected,Illumina MiSeq,not collected,not collected,LBnoPut3,PAIRED,RANDOM,TRANSCRIPTOMIC,not applicable,Pseudomonas aeruginosa PAO1,ILLUMINA,not applicable,2023-02-07T00:00:00Z,3,2022-02-14T19:54:00Z,1,PC_3_L001-PAO1-LB-Rep3,SRP359800,PAO1
SRR18021458,RNA-Seq,602,2465118964,PRJNA806967,SAMN25944585,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",1489245375,UNIVERSITY OF MONTANA,2021-06,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Lysogeny broth with shaking 37 degrees C,LB broth repicate 2,not collected,SRX14175607,USA,North America,"USA: Missoula\, Montana",not collected,Illumina MiSeq,not collected,not collected,LBnoPut2,PAIRED,RANDOM,TRANSCRIPTOMIC,not applicable,Pseudomonas aeruginosa PAO1,ILLUMINA,not applicable,2023-02-07T00:00:00Z,2,2022-02-14T19:57:00Z,1,PC_2_L001-PAO1-LB-Rep2,SRP359800,PAO1
SRR18021459,RNA-Seq,602,1478779288,PRJNA806967,SAMN25944584,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",889883998,UNIVERSITY OF MONTANA,2020-11,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Lysogeny broth with shaking 37 degrees C,LB broth repicate 1,not collected,SRX14175606,USA,North America,"USA: Missoula\, Montana",not collected,Illumina MiSeq,not collected,not collected,LBnoPut1,PAIRED,RANDOM,TRANSCRIPTOMIC,not applicable,Pseudomonas aeruginosa PAO1,ILLUMINA,not applicable,2023-02-07T00:00:00Z,1,2022-02-14T19:55:00Z,1,PC_1_L001-PAO1-LB-Rep1,SRP359800,PAO1
SRR18021460,RNA-Seq,602,982794498,PRJNA806967,SAMN25944583,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",605757330,UNIVERSITY OF MONTANA,2020-11,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",Lysogeny broth with shaking 37 degrees C,Cell lysate replicate 2,not collected,SRX14175605,USA,North America,"USA: Missoula\, Montana",not collected,Illumina MiSeq,not collected,not collected,CL2,PAIRED,RANDOM,TRANSCRIPTOMIC,not applicable,Pseudomonas aeruginosa PAO1,ILLUMINA,not applicable,2023-02-07T00:00:00Z,2,2022-02-14T19:54:00Z,1,CD_4_L001-PAO1-CL-2,SRP359800,PAO1
SRR18021461,RNA-Seq,602,810390728,PRJNA806967,SAMN25944582,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",496393501,UNIVERSITY OF MONTANA,2020-11,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Lysogeny broth with shaking 37 degrees C,Cell lysate replicate 1,not collected,SRX14175604,USA,North America,"USA: Missoula\, Montana",not collected,Illumina MiSeq,not collected,not collected,CL1,PAIRED,RANDOM,TRANSCRIPTOMIC,not applicable,Pseudomonas aeruginosa PAO1,ILLUMINA,not applicable,2023-02-07T00:00:00Z,1,2022-02-14T19:55:00Z,1,CD_3_L001-PAO1-CL-1,SRP359800,PAO1
SRR18021462,RNA-Seq,602,715242822,PRJNA806967,SAMN25944598,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",431222481,UNIVERSITY OF MONTANA,2021-06,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Lysogeny broth with shaking 37 degrees C,LB broth + 50 mM putrescine DMS3vir infected replicate 4,not collected,SRX14175603,USA,North America,"USA: Missoula\, Montana",not collected,Illumina MiSeq,not collected,not collected,LBPUTDMS3vir4,PAIRED,RANDOM,TRANSCRIPTOMIC,not applicable,Pseudomonas aeruginosa PAO1,ILLUMINA,not applicable,2023-02-07T00:00:00Z,4,2022-02-14T19:54:00Z,1,PC_15_L001-PAO1-PUT+DMS3vir-Rep4,SRP359800,PAO1
SRR18021463,RNA-Seq,602,686145152,PRJNA806967,SAMN25944597,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",411508641,UNIVERSITY OF MONTANA,2021-06,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Lysogeny broth with shaking 37 degrees C,LB broth + 50 mM putrescine DMS3vir infected replicate 3,not collected,SRX14175602,USA,North America,"USA: Missoula\, Montana",not collected,Illumina MiSeq,not collected,not collected,LBPUTDMS3vir3,PAIRED,RANDOM,TRANSCRIPTOMIC,not applicable,Pseudomonas aeruginosa PAO1,ILLUMINA,not applicable,2023-02-07T00:00:00Z,3,2022-02-14T19:54:00Z,1,PC_14_L001-PAO1-PUT+DMS3vir-Rep3,SRP359800,PAO1
SRR18021464,RNA-Seq,602,781506768,PRJNA806967,SAMN25944596,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",472401372,UNIVERSITY OF MONTANA,2021-06,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Lysogeny broth with shaking 37 degrees C,LB broth + 50 mM putrescine DMS3vir infected replicate 2,not collected,SRX14175601,USA,North America,"USA: Missoula\, Montana",not collected,Illumina MiSeq,not collected,not collected,LBPUTDMS3vir2,PAIRED,RANDOM,TRANSCRIPTOMIC,not applicable,Pseudomonas aeruginosa PAO1,ILLUMINA,not applicable,2023-02-07T00:00:00Z,2,2022-02-14T19:54:00Z,1,PC_13_L001-PAO1-PUT+DMS3vir-Rep2,SRP359800,PAO1
SRR18021465,RNA-Seq,602,794019338,PRJNA806967,SAMN25944595,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",481065398,UNIVERSITY OF MONTANA,2021-06,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Lysogeny broth with shaking 37 degrees C,LB broth + 50 mM putrescine DMS3vir infected replicate 1,not collected,SRX14175600,USA,North America,"USA: Missoula\, Montana",not collected,Illumina MiSeq,not collected,not collected,LBPUTDMS3vir1,PAIRED,RANDOM,TRANSCRIPTOMIC,not applicable,Pseudomonas aeruginosa PAO1,ILLUMINA,not applicable,2023-02-07T00:00:00Z,1,2022-02-14T19:54:00Z,1,PC_12_L001-PAO1-PUT+DMS3vir-Rep1,SRP359800,PAO1
SRR18021466,RNA-Seq,602,843881794,PRJNA806967,SAMN25944594,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",507026764,UNIVERSITY OF MONTANA,2021-06,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Lysogeny broth with shaking 37 degrees C,LB broth DMS3vir infected repicate 4,not collected,SRX14175599,USA,North America,"USA: Missoula\, Montana",not collected,Illumina MiSeq,not collected,not collected,LBDMS3vir4,PAIRED,RANDOM,TRANSCRIPTOMIC,not applicable,Pseudomonas aeruginosa PAO1,ILLUMINA,not applicable,2023-02-07T00:00:00Z,4,2022-02-14T19:54:00Z,1,PC_11_L001-PAO1-DMS3vir-Rep4,SRP359800,PAO1
