Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,isolation_source,lab_host,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,samp_size,Sample Name,sample_type,SRA Study,strain
SRR19152324,RNA-Seq,302,4821043440,PRJNA836150,SAMN28155573,"Microbe\, viral or environmental",1522701742,QINGDAO AGRICULTURAL UNIVERSITY,2020-08-11T08:55:00Z,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX15219047,China,Asia,China:Qingdao,animal,Illumina HiSeq 4000,missing,sewage,Staphylococcus lentus JTB1-3,B+P_55-1,PAIRED,other,TRANSCRIPTOMIC,Mammaliicoccus lentus,ILLUMINA,2023-06-01T00:00:00Z,replicate = biological replicate 1,2022-05-10T02:00:00Z,1,1mL,B+P_55-1,mixed culture,SRP374467,missing
SRR19152325,RNA-Seq,302,4262228680,PRJNA836150,SAMN28155572,"Microbe\, viral or environmental",1344686673,QINGDAO AGRICULTURAL UNIVERSITY,2020-08-11T08:15:05Z,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX15219046,China,Asia,China:Qingdao,animal,Illumina HiSeq 4000,missing,sewage,Staphylococcus lentus JTB1-3,B+P_15-3,PAIRED,other,TRANSCRIPTOMIC,Mammaliicoccus lentus,ILLUMINA,2023-06-01T00:00:00Z,replicate = biological replicate 3,2022-05-10T02:00:00Z,1,1mL,B+P_15-3,mixed culture,SRP374467,missing
SRR19152326,RNA-Seq,302,5150054622,PRJNA836150,SAMN28155571,"Microbe\, viral or environmental",1652577380,QINGDAO AGRICULTURAL UNIVERSITY,2020-08-11T08:15:03Z,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX15219045,China,Asia,China:Qingdao,animal,Illumina HiSeq 4000,missing,sewage,Staphylococcus lentus JTB1-3,B+P_15-2,PAIRED,other,TRANSCRIPTOMIC,Mammaliicoccus lentus,ILLUMINA,2023-06-01T00:00:00Z,replicate = biological replicate 2,2022-05-10T02:04:00Z,1,1mL,B+P_15-2,mixed culture,SRP374467,missing
SRR19152327,RNA-Seq,302,4916538860,PRJNA836150,SAMN28155570,"Microbe\, viral or environmental",1564108060,QINGDAO AGRICULTURAL UNIVERSITY,2020-08-11T08:15:00Z,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX15219044,China,Asia,China:Qingdao,animal,Illumina HiSeq 4000,missing,sewage,Staphylococcus lentus JTB1-3,B+P_15-1,PAIRED,other,TRANSCRIPTOMIC,Mammaliicoccus lentus,ILLUMINA,2023-06-01T00:00:00Z,replicate = biological replicate 1,2022-05-10T02:06:00Z,1,1mL,B+P_15-1,mixed culture,SRP374467,missing
SRR19152328,RNA-Seq,302,4351511658,PRJNA836150,SAMN28155569,"Microbe\, viral or environmental",1384094904,QINGDAO AGRICULTURAL UNIVERSITY,2020-08-11T08:05:05Z,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX15219043,China,Asia,China:Qingdao,animal,Illumina HiSeq 4000,missing,sewage,Staphylococcus lentus JTB1-3,B+P_5-3,PAIRED,other,TRANSCRIPTOMIC,Mammaliicoccus lentus,ILLUMINA,2023-06-01T00:00:00Z,replicate = biological replicate 3,2022-05-10T02:04:00Z,1,1mL,B+P_5-3,mixed culture,SRP374467,missing
SRR19152329,RNA-Seq,302,4150809102,PRJNA836150,SAMN28155568,"Microbe\, viral or environmental",1328303623,QINGDAO AGRICULTURAL UNIVERSITY,2020-08-11T08:05:03Z,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX15219042,China,Asia,China:Qingdao,animal,Illumina HiSeq 4000,missing,sewage,Staphylococcus lentus JTB1-3,B+P_5-2,PAIRED,other,TRANSCRIPTOMIC,Mammaliicoccus lentus,ILLUMINA,2023-06-01T00:00:00Z,replicate = biological replicate 2,2022-05-10T02:00:00Z,1,1mL,B+P_5-2,mixed culture,SRP374467,missing
SRR19152330,RNA-Seq,302,4645865924,PRJNA836150,SAMN28155567,"Microbe\, viral or environmental",1510075338,QINGDAO AGRICULTURAL UNIVERSITY,2020-08-11T08:05:00Z,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX15219041,China,Asia,China:Qingdao,animal,Illumina HiSeq 4000,missing,sewage,Staphylococcus lentus JTB1-3,B+P_5-1,PAIRED,other,TRANSCRIPTOMIC,Mammaliicoccus lentus,ILLUMINA,2023-06-01T00:00:00Z,replicate = biological replicate 1,2022-05-10T02:00:00Z,1,1mL,B+P_5-1,mixed culture,SRP374467,missing
SRR19152331,RNA-Seq,302,4805694592,PRJNA836150,SAMN28155566,"Microbe\, viral or environmental",1510379240,QINGDAO AGRICULTURAL UNIVERSITY,2020-08-11T08:00:05Z,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX15219040,China,Asia,China:Qingdao,animal,Illumina HiSeq 4000,missing,sewage,Staphylococcus lentus JTB1-3,B_0-3,PAIRED,other,TRANSCRIPTOMIC,Mammaliicoccus lentus,ILLUMINA,2023-06-01T00:00:00Z,replicate = biological replicate 3,2022-05-10T02:07:00Z,1,1mL,B_0-3,cell culture,SRP374467,missing
SRR19152332,RNA-Seq,302,4205508852,PRJNA836150,SAMN28155575,"Microbe\, viral or environmental",1331972982,QINGDAO AGRICULTURAL UNIVERSITY,2020-08-11T08:55:05Z,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX15219039,China,Asia,China:Qingdao,animal,Illumina HiSeq 4000,missing,sewage,Staphylococcus lentus JTB1-3,B+P_55-3,PAIRED,other,TRANSCRIPTOMIC,Mammaliicoccus lentus,ILLUMINA,2023-06-01T00:00:00Z,replicate = biological replicate 3,2022-05-10T02:15:00Z,1,1mL,B+P_55-3,mixed culture,SRP374467,missing
SRR19152333,RNA-Seq,302,4568692844,PRJNA836150,SAMN28155574,"Microbe\, viral or environmental",1448328952,QINGDAO AGRICULTURAL UNIVERSITY,2020-08-11T08:55:03Z,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX15219038,China,Asia,China:Qingdao,animal,Illumina HiSeq 4000,missing,sewage,Staphylococcus lentus JTB1-3,B+P_55-2,PAIRED,other,TRANSCRIPTOMIC,Mammaliicoccus lentus,ILLUMINA,2023-06-01T00:00:00Z,replicate = biological replicate 2,2022-05-10T02:01:00Z,1,1mL,B+P_55-2,mixed culture,SRP374467,missing
