Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type_used_for_cell_adherence,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,phage_moi,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment
SRR21529903,RNA-Seq,146,1431542055,PRJNA879423,SAMN30806966,539754816,human airway epithelium of normal genotype,"LABORATORY OF GENE TECHNOLOGY, BIOSYSTEMS, KU LEUVEN",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX17532267,uncalculated,uncalculated,missing,Illumina MiniSeq,GSM6573862,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,MOI=75,ILLUMINA,2023-05-31T00:00:00Z,2022-09-12T12:28:00Z,1,GSM6573862,"15 min infected- P. aeruginosa PAO1 (DSM22644) adhered to Nuli-1 cell line (ATCC® CRL-4011™)\, with Pseudomonas LUZ19 phage",SRP396701,15 min with phage
SRR21529904,RNA-Seq,146,1848993051,PRJNA879423,SAMN30806967,695133376,human airway epithelium of normal genotype,"LABORATORY OF GENE TECHNOLOGY, BIOSYSTEMS, KU LEUVEN",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX17532266,uncalculated,uncalculated,missing,Illumina MiniSeq,GSM6573861,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,MOI=75,ILLUMINA,2023-05-31T00:00:00Z,2022-09-12T13:32:00Z,1,GSM6573861,"10 min infected- P. aeruginosa PAO1 (DSM22644) adhered to Nuli-1 cell line (ATCC® CRL-4011™)\, with Pseudomonas LUZ19 phage",SRP396701,10 min with phage
SRR21529905,RNA-Seq,146,2434056620,PRJNA879423,SAMN30806968,904952689,human airway epithelium of normal genotype,"LABORATORY OF GENE TECHNOLOGY, BIOSYSTEMS, KU LEUVEN",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX17532265,uncalculated,uncalculated,missing,Illumina MiniSeq,GSM6573860,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,MOI=75,ILLUMINA,2023-05-31T00:00:00Z,2022-09-12T12:54:00Z,1,GSM6573860,"10 min infected- P. aeruginosa PAO1 (DSM22644) adhered to Nuli-1 cell line (ATCC® CRL-4011™)\, with Pseudomonas LUZ19 phage",SRP396701,10 min with phage
SRR21529906,RNA-Seq,146,1741678359,PRJNA879423,SAMN30806969,651192039,human airway epithelium of normal genotype,"LABORATORY OF GENE TECHNOLOGY, BIOSYSTEMS, KU LEUVEN",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX17532264,uncalculated,uncalculated,missing,Illumina MiniSeq,GSM6573859,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,MOI=75,ILLUMINA,2023-05-31T00:00:00Z,2022-09-12T12:38:00Z,1,GSM6573859,"10 min infected- P. aeruginosa PAO1 (DSM22644) adhered to Nuli-1 cell line (ATCC® CRL-4011™)\, with Pseudomonas LUZ19 phage",SRP396701,10 min with phage
SRR21529907,RNA-Seq,149,2581809037,PRJNA879423,SAMN30806970,924025528,human airway epithelium of normal genotype,"LABORATORY OF GENE TECHNOLOGY, BIOSYSTEMS, KU LEUVEN",missing,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX17532263,uncalculated,uncalculated,missing,Illumina MiniSeq,GSM6573858,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,MOI=75,ILLUMINA,2023-05-31T00:00:00Z,2022-09-12T12:26:00Z,1,GSM6573858,"5 min infected- P. aeruginosa PAO1 (DSM22644) adhered to Nuli-1 cell line (ATCC® CRL-4011™)\, with Pseudomonas LUZ19 phage",SRP396701,5 min with phage
SRR21529908,RNA-Seq,152,2099366392,PRJNA879423,SAMN30806971,723228589,human airway epithelium of normal genotype,"LABORATORY OF GENE TECHNOLOGY, BIOSYSTEMS, KU LEUVEN",missing,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX17532262,uncalculated,uncalculated,missing,Illumina MiniSeq,GSM6573857,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,MOI=75,ILLUMINA,2023-05-31T00:00:00Z,2022-09-12T12:23:00Z,1,GSM6573857,"5 min infected- P. aeruginosa PAO1 (DSM22644) adhered to Nuli-1 cell line (ATCC® CRL-4011™)\, with Pseudomonas LUZ19 phage",SRP396701,5 min with phage
SRR21529909,RNA-Seq,149,2622543298,PRJNA879423,SAMN30806972,939622243,human airway epithelium of normal genotype,"LABORATORY OF GENE TECHNOLOGY, BIOSYSTEMS, KU LEUVEN",missing,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX17532261,uncalculated,uncalculated,missing,Illumina MiniSeq,GSM6573856,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,MOI=75,ILLUMINA,2023-05-31T00:00:00Z,2022-09-12T12:25:00Z,1,GSM6573856,"5 min infected- P. aeruginosa PAO1 (DSM22644) adhered to Nuli-1 cell line (ATCC® CRL-4011™)\, with Pseudomonas LUZ19 phage",SRP396701,5 min with phage
SRR21529910,RNA-Seq,152,2078299952,PRJNA879423,SAMN30806973,814730091,human airway epithelium of normal genotype,"LABORATORY OF GENE TECHNOLOGY, BIOSYSTEMS, KU LEUVEN",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX17532260,uncalculated,uncalculated,missing,Illumina MiniSeq,GSM6573855,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,phage wasn't added,ILLUMINA,2023-05-31T00:00:00Z,2022-09-12T12:22:00Z,1,GSM6573855,P. aeruginosa PAO1 (DSM22644) adhered to Nuli-1 cell line (ATCC® CRL-4011™),SRP396701,untreated
SRR21529911,RNA-Seq,152,1697534328,PRJNA879423,SAMN30806974,670996856,human airway epithelium of normal genotype,"LABORATORY OF GENE TECHNOLOGY, BIOSYSTEMS, KU LEUVEN",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX17532259,uncalculated,uncalculated,missing,Illumina MiniSeq,GSM6573854,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,phage wasn't added,ILLUMINA,2023-05-31T00:00:00Z,2022-09-12T12:21:00Z,1,GSM6573854,P. aeruginosa PAO1 (DSM22644) adhered to Nuli-1 cell line (ATCC® CRL-4011™),SRP396701,untreated
SRR21529912,RNA-Seq,152,1818935056,PRJNA879423,SAMN30806975,713230217,human airway epithelium of normal genotype,"LABORATORY OF GENE TECHNOLOGY, BIOSYSTEMS, KU LEUVEN",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17532258,uncalculated,uncalculated,missing,Illumina MiniSeq,GSM6573853,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,phage wasn't added,ILLUMINA,2023-05-31T00:00:00Z,2022-09-12T12:36:00Z,1,GSM6573853,P. aeruginosa PAO1 (DSM22644) adhered to Nuli-1 cell line (ATCC® CRL-4011™),SRP396701,untreated
