"project_accession","run_accession","bacteria_accession","phage_accession"
"PRJNA868713","SRR21013136","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013137","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013138","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013139","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013140","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013141","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013142","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013143","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013144","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013145","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013146","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013147","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013148","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013149","GCF_000005845.2","GCF_000836945.1"
"PRJNA868713","SRR21013150","GCF_000005845.2","GCF_000836945.1"
"PRJNA804221","SRR17937333","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937334","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937335","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937336","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937337","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937338","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937339","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937340","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937341","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937342","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937343","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937344","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937345","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937346","GCF_028561935.1","GCA_026898255.1"
"PRJNA804221","SRR17937347","GCF_028561935.1","GCA_026898255.1"
"PRJNA836150","SRR19152324","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152325","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152326","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152327","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152328","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152329","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152330","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152331","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152332","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152333","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152334","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152335","GCF_014070215.1","GCA_016836355.1"
"PRJNA252740","SRR1393880","GCF_000006765.1","GCF_000842965.1"
"PRJNA252740","SRR1393881","GCF_000006765.1","GCF_000842965.1"
"PRJNA252740","SRR1393882","GCF_000006765.1","GCF_000842965.1"
"PRJNA252740","SRR1393883","GCF_000006765.1","GCF_000842965.1"
"PRJNA252740","SRR1393884","GCF_000006765.1","GCF_000842965.1"
"PRJNA252740","SRR1393885","GCF_000006765.1","GCF_000842965.1"
"PRJNA252740","SRR1393886","GCF_000006765.1","GCF_000842965.1"
"PRJNA252740","SRR1393887","GCF_000006765.1","GCF_000842965.1"
"PRJNA252740","SRR1393888","GCF_000006765.1","GCF_000842965.1"
"PRJNA252740","SRR1393889","GCF_000006765.1","GCF_000842965.1"
"PRJNA252740","SRR1393890","GCF_000006765.1","GCF_000842965.1"
"PRJNA252740","SRR1393891","GCF_000006765.1","GCF_000842965.1"
"PRJNA307603","SRR3084367","GCA_000568855.2","GCF_000913175.1"
"PRJNA307603","SRR3084368","GCA_000568855.2","GCF_000913175.1"
"PRJNA307603","SRR3084369","GCA_000568855.2","GCF_000913175.1"
"PRJNA307603","SRR3084370","GCA_000568855.2","GCF_000913175.1"
"PRJNA307603","SRR3084371","GCA_000568855.2","GCF_000913175.1"
"PRJNA307603","SRR3084372","GCA_000568855.2","GCF_000913175.1"
"PRJNA307603","SRR3084373","GCA_000568855.2","GCF_000913175.1"
"PRJNA307603","SRR3084374","GCA_000568855.2","GCF_000913175.1"
