"project_accession","run_accession","bacteria_accession","phage_accession"
"PRJNA868713","SRR21013136","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013137","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013138","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013139","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013140","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013141","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013142","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013143","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013144","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013145","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013146","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013147","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013148","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013149","GCF_001559615.2","GCF_000836945.1"
"PRJNA868713","SRR21013150","GCF_001559615.2","GCF_000836945.1"
"PRJNA836150","SRR19152324","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152325","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152326","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152327","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152328","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152329","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152330","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152331","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152332","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152333","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152334","GCF_014070215.1","GCA_016836355.1"
"PRJNA836150","SRR19152335","GCF_014070215.1","GCA_016836355.1"
"PRJNA726266","SRR14366198","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366199","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366200","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366201","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366202","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366203","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366204","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366205","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366206","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366207","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366208","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366209","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366210","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366211","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366212","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366213","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366214","GCF_001559615.2","GCF_000844165.1"
"PRJNA726266","SRR14366215","GCF_001559615.2","GCF_000844165.1"
"PRJNA806967","SRR18021454","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021455","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021456","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021457","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021458","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021459","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021460","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021461","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021462","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021463","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021464","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021465","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021466","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021467","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021468","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021469","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021470","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021471","GCF_000006765.1","GCF_000867885.1"
"PRJNA806967","SRR18021472","GCF_000006765.1","GCF_000867885.1"
"PRJNA315575","SRR3234484","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234485","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234486","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234487","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234488","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234489","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234490","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234491","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234492","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234493","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234494","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234495","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234496","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234497","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234498","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234499","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234500","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234501","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234502","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234503","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234504","GCF_000011465.1","GCF_000892475.1"
"PRJNA315575","SRR3234505","GCF_000011465.1","GCF_000892475.1"
