"","project_accession","run_accession","bacteria_accession","phage_accession"
"1","PRJNA726266","SRR14366198","GCF_000005845.2","GCF_000844165.1"
"2","PRJNA726266","SRR14366199","GCF_000005845.2","GCF_000844165.1"
"3","PRJNA726266","SRR14366200","GCF_000005845.2","GCF_000844165.1"
"4","PRJNA726266","SRR14366201","GCF_000005845.2","GCF_000844165.1"
"5","PRJNA726266","SRR14366202","GCF_000005845.2","GCF_000844165.1"
"6","PRJNA726266","SRR14366203","GCF_000005845.2","GCF_000844165.1"
"7","PRJNA726266","SRR14366204","GCF_000005845.2","GCF_000844165.1"
"8","PRJNA726266","SRR14366205","GCF_000005845.2","GCF_000844165.1"
"9","PRJNA726266","SRR14366206","GCF_000005845.2","GCF_000844165.1"
"10","PRJNA726266","SRR14366207","GCF_000005845.2","GCF_000844165.1"
"11","PRJNA726266","SRR14366208","GCF_000005845.2","GCF_000844165.1"
"12","PRJNA726266","SRR14366209","GCF_000005845.2","GCF_000844165.1"
"13","PRJNA726266","SRR14366210","GCF_000005845.2","GCF_000844165.1"
"14","PRJNA726266","SRR14366211","GCF_000005845.2","GCF_000844165.1"
"15","PRJNA726266","SRR14366212","GCF_000005845.2","GCF_000844165.1"
"16","PRJNA726266","SRR14366213","GCF_000005845.2","GCF_000844165.1"
"17","PRJNA726266","SRR14366214","GCF_000005845.2","GCF_000844165.1"
"18","PRJNA726266","SRR14366215","GCF_000005845.2","GCF_000844165.1"
"19","PRJNA1065926","SRR27597248","GCF_000005845.2","GCF_000836945.1"
"20","PRJNA1065926","SRR27597249","GCF_000005845.2","GCF_000836945.1"
"21","PRJNA1065926","SRR27597250","GCF_000005845.2","GCF_000836945.1"
"22","PRJNA1065926","SRR27597251","GCF_000005845.2","GCF_000836945.1"
"23","PRJNA1065926","SRR27597252","GCF_000005845.2","GCF_000836945.1"
"24","PRJNA1065926","SRR27597253","GCF_000005845.2","GCF_000836945.1"
"25","PRJNA1065926","SRR27597254","GCF_000005845.2","GCF_000836945.1"
"26","PRJNA1065926","SRR27597255","GCF_000005845.2","GCF_000836945.1"
"27","PRJNA323606","SRR3594605","GCF_000015005.1","GCF_000904695.1"
"28","PRJNA323606","SRR3594606","GCF_000015005.1","GCF_000920155.1"
"29","PRJNA323606","SRR3594607","GCF_000015005.1","GCF_000920155.1"
"30","PRJNA323606","SRR3594608","GCF_000015005.1","GCF_000920155.1"
"31","PRJNA323606","SRR3594609","GCF_000015005.1","GCF_000917275.1"
"32","PRJNA323606","SRR3594610","GCF_000015005.1","GCF_000917275.1"
"33","PRJNA323606","SRR3594611","GCF_000015005.1","GCF_000917275.1"
"34","PRJNA323606","SRR3594612","GCF_000015005.1","GCF_001755245.1"
"35","PRJNA323606","SRR3594613","GCF_000015005.1","GCF_001754805.1"
"36","PRJNA323606","SRR3594614","GCF_000015005.1","GCF_000916655.1"
"37","PRJNA323606","SRR3594615","GCF_000015005.1","GCF_001755665.1"
"38","PRJNA323606","SRR3594616","GCF_000015005.1","GCA_002757575.1"
"39","PRJNA847232","SRR19585870","GCF_013167015.1","GCF_000836945.1"
"40","PRJNA847232","SRR19585871","GCF_013167015.1","GCF_000836945.1"
"41","PRJNA847232","SRR19585872","GCF_013167015.1","GCF_000836945.1"
"42","PRJNA847232","SRR19585873","GCF_013167015.1","GCF_000836945.1"
"43","PRJNA847232","SRR19585874","GCF_013167015.1","GCF_000836945.1"
"44","PRJNA847232","SRR19585875","GCF_013167015.1","GCF_000836945.1"
"45","PRJDB12232","DRR317698","GCF_000091545.1","GCA_002621045.1"
"46","PRJDB12232","DRR317699","GCF_000091545.1","GCA_002621045.1"
