"","sys_id","type","subtype","activity","sys_beg","sys_end","protein_in_syst","genes_count","name_of_profiles_in_sys","Geneid"
"1","reordered_RM_Type_III_7","RM","RM_Type_III","Defense","WP_416350033.1","WP_416350037.1","WP_416350033.1",4,"RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed","ACNMOQ_RS00185"
"2","reordered_RM_Type_III_7","RM","RM_Type_III","Defense","WP_416350033.1","WP_416350037.1","WP_416350034.1",4,"RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed","ACNMOQ_RS00190"
"3","reordered_RM_Type_III_7","RM","RM_Type_III","Defense","WP_416350033.1","WP_416350037.1","WP_416350036.1",4,"RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed","ACNMOQ_RS00210"
"4","reordered_RM_Type_III_7","RM","RM_Type_III","Defense","WP_416350033.1","WP_416350037.1","WP_416350037.1",4,"RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed","ACNMOQ_RS00215"
"5","reordered_Gabija_2","Gabija","Gabija","Defense","WP_416350038.1","WP_416350389.1","WP_416350038.1",2,"Gabija__GajA,Gabija__GajB_2","ACNMOQ_RS00225"
"6","reordered_Gabija_2","Gabija","Gabija","Defense","WP_416350038.1","WP_416350389.1","WP_416350389.1",2,"Gabija__GajA,Gabija__GajB_2","ACNMOQ_RS00230"
"7","reordered_Nhi_4","Nhi","Nhi","Defense","WP_218706884.1","WP_218706884.1","WP_218706884.1",1,"Nhi__Nhi","ACNMOQ_RS00290"
"8","reordered_RosmerTA_5","RosmerTA","RosmerTA","Defense","WP_218708502.1","WP_416350137.1","WP_218708502.1",2,"RosmerTA__RmrA_2603008502,RosmerTA__RmrT_2603008502","ACNMOQ_RS01140"
"9","reordered_RosmerTA_5","RosmerTA","RosmerTA","Defense","WP_218708502.1","WP_416350137.1","WP_416350137.1",2,"RosmerTA__RmrA_2603008502,RosmerTA__RmrT_2603008502","ACNMOQ_RS01145"
"10","reordered_Gabija_3","Gabija","Gabija","Defense","WP_416350292.1","WP_416350293.1","WP_416350292.1",2,"Gabija__GajA,Gabija__GajB_1","ACNMOQ_RS04670"
"11","reordered_Gabija_3","Gabija","Gabija","Defense","WP_416350292.1","WP_416350293.1","WP_416350293.1",2,"Gabija__GajA,Gabija__GajB_1","ACNMOQ_RS04675"
"12","reordered_Abi2_1","Abi2","Abi2","Defense","WP_214269660.1","WP_214269660.1","WP_214269660.1",1,"Abi2__Abi_2","ACNMOQ_RS13970"
"13","reordered_SEFIR_6","SEFIR","SEFIR","Defense","WP_416350411.1","WP_416350411.1","WP_416350411.1",1,"SEFIR__bSEFIR","ACNMOQ_RS14105"
"14","reordered_SEFIR_6","SEFIR","SEFIR","Defense","WP_416350411.1","WP_416350411.1","WP_416350411.1",1,"SEFIR__bSEFIR","ACNMOQ_RS14260"
