sys_id,type,subtype,activity,sys_beg,sys_end,protein_in_syst,genes_count,name_of_profiles_in_sys,Geneid
ordered_protein_CAS_Class2-Subtype-II-A_5,Cas,CAS_Class2-Subtype-II-A,Defense,WP_002413717.1,WP_002364832.1,WP_002413717.1,4,"cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_6,cas9_II-A_II-B_II-C_3,csn2_II-A_4",OG1RF_RS02175
ordered_protein_CAS_Class2-Subtype-II-A_5,Cas,CAS_Class2-Subtype-II-A,Defense,WP_002413717.1,WP_002364832.1,WP_002364834.1,4,"cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_6,cas9_II-A_II-B_II-C_3,csn2_II-A_4",OG1RF_RS02180
ordered_protein_CAS_Class2-Subtype-II-A_5,Cas,CAS_Class2-Subtype-II-A,Defense,WP_002413717.1,WP_002364832.1,WP_002364833.1,4,"cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_6,cas9_II-A_II-B_II-C_3,csn2_II-A_4",OG1RF_RS02185
ordered_protein_CAS_Class2-Subtype-II-A_5,Cas,CAS_Class2-Subtype-II-A,Defense,WP_002413717.1,WP_002364832.1,WP_002364832.1,4,"cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_6,cas9_II-A_II-B_II-C_3,csn2_II-A_4",OG1RF_RS02190
ordered_protein_Lamassu-Lipase_2,Lamassu-Fam,Lamassu-Lipase,Defense,WP_002413741.1,WP_002413743.1,WP_002413741.1,3,"Lamassu-Fam__LmuA_effector_Lipase,Lamassu-Fam__LmuB_SMC_Lipase,Lamassu-Fam__LmuC_acc_Lipase",OG1RF_RS13390
ordered_protein_Lamassu-Lipase_2,Lamassu-Fam,Lamassu-Lipase,Defense,WP_002413741.1,WP_002413743.1,WP_002413742.1,3,"Lamassu-Fam__LmuA_effector_Lipase,Lamassu-Fam__LmuB_SMC_Lipase,Lamassu-Fam__LmuC_acc_Lipase",OG1RF_RS04190
ordered_protein_Lamassu-Lipase_2,Lamassu-Fam,Lamassu-Lipase,Defense,WP_002413741.1,WP_002413743.1,WP_002413743.1,3,"Lamassu-Fam__LmuA_effector_Lipase,Lamassu-Fam__LmuB_SMC_Lipase,Lamassu-Fam__LmuC_acc_Lipase",OG1RF_RS13395
ordered_protein_Gabija_1,Gabija,Gabija,Defense,WP_002414386.1,WP_002413667.1,WP_002414386.1,2,"Gabija__GajA,Gabija__GajB_2",OG1RF_RS04320
ordered_protein_Gabija_1,Gabija,Gabija,Defense,WP_002414386.1,WP_002413667.1,WP_002413667.1,2,"Gabija__GajA,Gabija__GajB_2",OG1RF_RS04325
ordered_protein_RM_Type_II_4,RM,RM_Type_II,Defense,WP_014525037.1,WP_002405722.1,WP_014525037.1,2,"RM_Type_II__Type_II_MTases_FAM_7,RM_Type_II__Type_II_REase06",OG1RF_RS09325
ordered_protein_RM_Type_II_4,RM,RM_Type_II,Defense,WP_014525037.1,WP_002405722.1,WP_002405722.1,2,"RM_Type_II__Type_II_MTases_FAM_7,RM_Type_II__Type_II_REase06",OG1RF_RS09330
ordered_protein_RosmerTA_3,RosmerTA,RosmerTA,Defense,WP_002365444.1,WP_002354729.1,WP_002365444.1,2,"RosmerTA__RmrA_2623274509,RosmerTA__RmrT_2677172838",OG1RF_RS12855
ordered_protein_RosmerTA_3,RosmerTA,RosmerTA,Defense,WP_002365444.1,WP_002354729.1,WP_002354729.1,2,"RosmerTA__RmrA_2623274509,RosmerTA__RmrT_2677172838",OG1RF_RS12860
