sys_id,type,subtype,activity,sys_beg,sys_end,protein_in_syst,genes_count,name_of_profiles_in_sys,Geneid
ordered_protein_gcu233_4,gcu233,gcu233,Defense,WP_000633782.1,WP_000633782.1,WP_000633782.1,1,gcu233__gcu233,LGY17_RS00730
ordered_protein_gcu233_5,gcu233,gcu233,Defense,WP_000627024.1,WP_000627024.1,WP_000627024.1,1,gcu233__gcu233,LGY17_RS07425
ordered_protein_Dodola_3,Dodola,Dodola,Defense,WP_418356866.1,WP_000402465.1,WP_418356866.1,2,"Dodola__DolA,Dodola__DolB",LGY17_RS10275
ordered_protein_Dodola_3,Dodola,Dodola,Defense,WP_418356866.1,WP_000402465.1,WP_000402465.1,2,"Dodola__DolA,Dodola__DolB",LGY17_RS10280
ordered_protein_Avs_II_2,Avs,Avs_II,Defense,WP_000831218.1,WP_000831218.1,WP_000831218.1,1,Avs_II__Avs2A,LGY17_RS10665
ordered_protein_RM_Type_I_8,RM,RM_Type_I,Defense,WP_000072624.1,WP_031891248.1,WP_000072624.1,2,"RM__Type_I_MTases_FAM_0,RM__Type_I_S_51",LGY17_RS10670
ordered_protein_RM_Type_I_8,RM,RM_Type_I,Defense,WP_000072624.1,WP_031891248.1,WP_031891248.1,2,"RM__Type_I_MTases_FAM_0,RM__Type_I_S_51",LGY17_RS10675
ordered_protein_Abi2_1,Abi2,Abi2,Defense,WP_001822249.1,WP_001822249.1,WP_001822249.1,1,Abi2__Abi_2,LGY17_RS12785
ordered_protein_RM_Type_I_9,RM,RM_Type_I,Defense,WP_000028628.1,WP_000072584.1,WP_000028628.1,2,"RM__Type_I_MTases_FAM_0,RM__Type_I_S_51",LGY17_RS12995
ordered_protein_RM_Type_I_9,RM,RM_Type_I,Defense,WP_000028628.1,WP_000072584.1,WP_000072584.1,2,"RM__Type_I_MTases_FAM_0,RM__Type_I_S_51",LGY17_RS13000
