sys_id,type,subtype,activity,sys_beg,sys_end,protein_in_syst,genes_count,name_of_profiles_in_sys,Geneid
ordered_protein_Hma_2,Hma,Hma,Defense,WP_197525135.1,WP_224065207.1,WP_197525135.1,3,"Hma__HmaA,Hma__HmaB,Hma__HmaC",TTH_RS05155
ordered_protein_Hma_2,Hma,Hma,Defense,WP_197525135.1,WP_224065207.1,WP_011228378.1,3,"Hma__HmaA,Hma__HmaB,Hma__HmaC",TTH_RS05170
ordered_protein_Hma_2,Hma,Hma,Defense,WP_197525135.1,WP_224065207.1,WP_224065207.1,3,"Hma__HmaA,Hma__HmaB,Hma__HmaC",TTH_RS05190
ordered_protein_Ceres_1,Ceres,Ceres,Defense,WP_011228875.1,WP_011228875.1,WP_011228875.1,1,Ceres__CrsA1,TTH_RS08770
ordered_protein_pAgo_LongA_3,pAgo,pAgo_LongA,Defense,WP_224065247.1,WP_224065247.1,WP_224065247.1,1,pAgo__pAgo_LongA,TTH_RS10330
ordered_protein_CAS_Class1-Subtype-III-A_6,Cas,CAS_Class1-Subtype-III-A,Defense,WP_011229155.1,WP_011229148.1,WP_011229155.1,9,"cas10_III-A_1,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_8,csm2gr11_III-A_1,csm3gr7_III-A_1,csm4gr5_III-A_2,csm5gr7_III-A_2,csx1_III_21,csx1_III_21",TTH_RS10730
ordered_protein_CAS_Class1-Subtype-III-A_6,Cas,CAS_Class1-Subtype-III-A,Defense,WP_011229155.1,WP_011229148.1,WP_011229154.1,9,"cas10_III-A_1,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_8,csm2gr11_III-A_1,csm3gr7_III-A_1,csm4gr5_III-A_2,csm5gr7_III-A_2,csx1_III_21,csx1_III_21",TTH_RS10735
ordered_protein_CAS_Class1-Subtype-III-A_6,Cas,CAS_Class1-Subtype-III-A,Defense,WP_011229155.1,WP_011229148.1,WP_011174463.1,9,"cas10_III-A_1,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_8,csm2gr11_III-A_1,csm3gr7_III-A_1,csm4gr5_III-A_2,csm5gr7_III-A_2,csx1_III_21,csx1_III_21",TTH_RS10750
ordered_protein_CAS_Class1-Subtype-III-A_6,Cas,CAS_Class1-Subtype-III-A,Defense,WP_011229155.1,WP_011229148.1,WP_011229152.1,9,"cas10_III-A_1,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_8,csm2gr11_III-A_1,csm3gr7_III-A_1,csm4gr5_III-A_2,csm5gr7_III-A_2,csx1_III_21,csx1_III_21",TTH_RS10755
ordered_protein_CAS_Class1-Subtype-III-A_6,Cas,CAS_Class1-Subtype-III-A,Defense,WP_011229155.1,WP_011229148.1,WP_011174461.1,9,"cas10_III-A_1,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_8,csm2gr11_III-A_1,csm3gr7_III-A_1,csm4gr5_III-A_2,csm5gr7_III-A_2,csx1_III_21,csx1_III_21",TTH_RS10760
ordered_protein_CAS_Class1-Subtype-III-A_6,Cas,CAS_Class1-Subtype-III-A,Defense,WP_011229155.1,WP_011229148.1,WP_011229151.1,9,"cas10_III-A_1,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_8,csm2gr11_III-A_1,csm3gr7_III-A_1,csm4gr5_III-A_2,csm5gr7_III-A_2,csx1_III_21,csx1_III_21",TTH_RS10765
ordered_protein_CAS_Class1-Subtype-III-A_6,Cas,CAS_Class1-Subtype-III-A,Defense,WP_011229155.1,WP_011229148.1,WP_011229150.1,9,"cas10_III-A_1,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_8,csm2gr11_III-A_1,csm3gr7_III-A_1,csm4gr5_III-A_2,csm5gr7_III-A_2,csx1_III_21,csx1_III_21",TTH_RS10770
