sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
ordered_protein_RM_Type_I_24	RM	RM_Type_I	Defense	WP_263568624.1	WP_025297872.1	WP_263568624.1,WP_033895201.1,WP_025297872.1	3	RM__Type_I_MTases_FAM_3,RM__Type_I_REases_FAM_1.einsi_trimmed,RM__Type_I_S_04
ordered_protein_RnlAB_16	RnlAB	RnlAB	Defense	WP_071534662.1	WP_025297643.1	WP_071534662.1,WP_025297643.1	2	RnlAB__RnlA,RnlAB__RnlB
ordered_protein_RloC_13	RloC	RloC	Defense	WP_025297808.1	WP_025297808.1	WP_025297808.1	1	RloC__RloC
ordered_protein_Pycsar_12	Pycsar	Pycsar	Defense	WP_003127475.1	WP_010562503.1	WP_003127475.1,WP_010562503.1	2	CBASS__Effector_TIR,Pycsar__AG_cyclase
ordered_protein_6A_MBL_1	6A_MBL	6A_MBL	Defense	WP_023087037.1	WP_023087038.1	WP_023087037.1,WP_023087038.1	2	6A_MBL__MblB,6A_MBL__cap2_3
ordered_protein_CBASS_III_6	CBASS	CBASS_III	Defense	WP_016852809.1	WP_003050273.1	WP_016852809.1,WP_003090160.1,WP_003090159.1,WP_003090158.1,WP_003050273.1	5	CBASS__Cyclase_II,CBASS__Endonuc_small,CBASS__HORMA,CBASS__TRIP13,CBASS__bacHORMA_2
ordered_protein_Gabija_7	Gabija	Gabija	Defense	WP_033895410.1	WP_025297468.1	WP_033895410.1,WP_025297468.1	2	Gabija__GajA,Gabija__GajB_2
ordered_protein_RosmerTA_17	RosmerTA	RosmerTA	Defense	WP_071534660.1	WP_025297456.1	WP_071534660.1,WP_025297456.1	2	RosmerTA__RmrA_2634932349,RosmerTA__RmrT_2634932349
ordered_protein_BREX_I_3	BREX	BREX_I	Defense	WP_025297449.1	WP_033895418.1	WP_025297449.1,WP_025297448.1,WP_025297447.1,WP_033981139.1,WP_124135692.1,WP_025298035.1,WP_033895418.1	7	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglX1,BREX__pglZA
ordered_protein_HEC-02_8	HEC-02	HEC-02	Defense	WP_025297774.1	WP_025297775.1	WP_025297774.1,WP_025297775.1	2	HEC-02__HEC-02A,HEC-02__HEC-02B
ordered_protein_HEC-05_9	HEC-05	HEC-05	Defense	WP_025298036.1	WP_025298036.1	WP_025298036.1	1	HEC-05__HEC-05
ordered_protein_RM_Type_I_25	RM	RM_Type_I	Defense	WP_015649025.1	WP_015649024.1	WP_015649025.1,WP_015649024.1	2	RM__Type_I_MTases_FAM_0,RM__Type_I_S_06
ordered_protein_Zorya_TypeI_21	Zorya	Zorya_TypeI	Defense	WP_025297974.1	WP_015649020.1	WP_025297974.1,WP_015649022.1,WP_015649021.1,WP_015649020.1	4	Zorya_TypeI__ZorC,Zorya_TypeI__ZorD,Zorya__ZorA,Zorya__ZorB
ordered_protein_RM_Type_IV_27	RM	RM_Type_IV	Defense	WP_033895419.1	WP_045175673.1	WP_033895419.1,WP_045175673.1	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
ordered_protein_RloC_14	RloC	RloC	Defense	WP_006379607.1	WP_006379607.1	WP_006379607.1	1	RloC__RloC
ordered_protein_Nantosuelta_11	Nantosuelta	Nantosuelta	Defense	WP_015648461.1	WP_015648461.1	WP_015648461.1	1	Nantosuelta__VCA0322
ordered_protein_JukAB_10	JukAB	JukAB	Defense	WP_025297993.1	WP_003119448.1	WP_025297993.1,WP_003158596.1,WP_003119448.1	3	JukAB__JukA,JukAB__JukA,JukAB__JukB
ordered_protein_Wadjet_I_20	Wadjet	Wadjet_I	Defense	WP_223195031.1	WP_071534647.1	WP_223195031.1,WP_015647863.1,WP_015647862.1,WP_071534647.1	4	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I,Wadjet__JetD_I
ordered_protein_Rst_3HP_18	Rst_3HP	Rst_3HP	Defense	WP_071534684.1	WP_025297707.1	WP_071534684.1,WP_071534685.1,WP_025297707.1	3	Rst_3HP__Hp1,Rst_3HP__Hp2,Rst_3HP__Hp3
ordered_protein_RM_Type_II_26	RM	RM_Type_II	Defense	WP_025297704.1	WP_025297703.1	WP_025297704.1,WP_025297703.1	2	RM_Type_II__Type_II_MTases_FAM_31,RM_Type_II__Type_II_REase29
ordered_protein_RloC_15	RloC	RloC	Defense	WP_010794466.1	WP_010794466.1	WP_010794466.1	1	RloC__RloC
