"","sys_id","type","subtype","activity","sys_beg","sys_end","protein_in_syst","genes_count","name_of_profiles_in_sys","Geneid"
"1","reordered_Lit_3","Lit","Lit","Defense","NP_415657.1","NP_415657.1","NP_415657.1",1,"Lit__Lit","b1139"
"2","reordered_RM_Type_IV_9","RM","RM_Type_IV","Defense","NP_415677.1","NP_415677.1","NP_415677.1",1,"RM_Type_IV__Type_IV_05","b1159"
"3","reordered_Hachiman_1","Hachiman","Hachiman","Defense","NP_417116.1","NP_417117.1","NP_417116.1",2,"Hachiman__HamA_2,Hachiman__HamB","b2627"
"4","reordered_Hachiman_1","Hachiman","Hachiman","Defense","NP_417116.1","NP_417117.1","NP_417117.1",2,"Hachiman__HamA_2,Hachiman__HamB","b2628"
"5","reordered_RnlAB_6","RnlAB","RnlAB","Defense","NP_417119.1","NP_417120.2","NP_417119.1",2,"RnlAB__RnlA,RnlAB__RnlB","b2630"
"6","reordered_RnlAB_6","RnlAB","RnlAB","Defense","NP_417119.1","NP_417120.2","NP_417120.2",2,"RnlAB__RnlA,RnlAB__RnlB","b2631"
"7","reordered_CAS_Class1-Subtype-I-E_11","Cas","CAS_Class1-Subtype-I-E","Defense","NP_417234.2","NP_417241.1","NP_417234.2",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","b2754"
"8","reordered_CAS_Class1-Subtype-I-E_11","Cas","CAS_Class1-Subtype-I-E","Defense","NP_417234.2","NP_417241.1","NP_417235.1",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","b2755"
"9","reordered_CAS_Class1-Subtype-I-E_11","Cas","CAS_Class1-Subtype-I-E","Defense","NP_417234.2","NP_417241.1","NP_417236.1",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","b2756"
"10","reordered_CAS_Class1-Subtype-I-E_11","Cas","CAS_Class1-Subtype-I-E","Defense","NP_417234.2","NP_417241.1","NP_417237.2",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","b2757"
"11","reordered_CAS_Class1-Subtype-I-E_11","Cas","CAS_Class1-Subtype-I-E","Defense","NP_417234.2","NP_417241.1","NP_417238.1",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","b2758"
"12","reordered_CAS_Class1-Subtype-I-E_11","Cas","CAS_Class1-Subtype-I-E","Defense","NP_417234.2","NP_417241.1","NP_417239.1",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","b2759"
"13","reordered_CAS_Class1-Subtype-I-E_11","Cas","CAS_Class1-Subtype-I-E","Defense","NP_417234.2","NP_417241.1","NP_417240.1",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","b2760"
