sys_id,type,subtype,activity,sys_beg,sys_end,protein_in_syst,genes_count,name_of_profiles_in_sys,Geneid
ordered_protein_AbiJ_1,AbiJ,AbiJ,Defense,WP_032933916.1,WP_032933916.1,WP_032933916.1,1,AbiJ__AbiJ,R7A2020_RS03460
ordered_protein_DRT6_4,DRT,DRT6,Defense,WP_158673668.1,WP_158673668.1,WP_158673668.1,1,DRT6__DRT6,R7A2020_RS09175
ordered_protein_Gabija_6,Gabija,Gabija,Defense,WP_032931210.1,WP_032931209.1,WP_032931210.1,2,"Gabija__GajA,Gabija__GajB_2",R7A2020_RS12430
ordered_protein_Gabija_6,Gabija,Gabija,Defense,WP_032931210.1,WP_032931209.1,WP_032931209.1,2,"Gabija__GajA,Gabija__GajB_2",R7A2020_RS12435
ordered_protein_CBASS_I_3,CBASS,CBASS_I,Defense,WP_051401949.1,WP_032929984.1,WP_051401949.1,2,"CBASS__Cyclase_II,CBASS__Sensing_SAVED",R7A2020_RS20875
ordered_protein_CBASS_I_3,CBASS,CBASS_I,Defense,WP_051401949.1,WP_032929984.1,WP_032929984.1,2,"CBASS__Cyclase_II,CBASS__Sensing_SAVED",R7A2020_RS20880
ordered_protein_Septu_10,Septu,Septu,Defense,WP_027033402.1,WP_027033396.1,WP_027033402.1,3,"Septu__PtuA,Septu__PtuA_2,Septu__PtuB_2",R7A2020_RS29185
ordered_protein_Septu_10,Septu,Septu,Defense,WP_027033402.1,WP_027033396.1,WP_027033401.1,3,"Septu__PtuA,Septu__PtuA_2,Septu__PtuB_2",R7A2020_RS29190
ordered_protein_Septu_10,Septu,Septu,Defense,WP_027033402.1,WP_027033396.1,WP_027033396.1,3,"Septu__PtuA,Septu__PtuA_2,Septu__PtuB_2",R7A2020_RS29220
ordered_protein_Gao_Iet_7,Gao_Iet,Gao_Iet,Defense,WP_051429772.1,WP_027033398.1,WP_051429772.1,2,"Gao_Iet__IetA,Gao_Iet__IetS",R7A2020_RS29205
ordered_protein_Gao_Iet_7,Gao_Iet,Gao_Iet,Defense,WP_051429772.1,WP_027033398.1,WP_027033398.1,2,"Gao_Iet__IetA,Gao_Iet__IetS",R7A2020_RS29210
ordered_protein_DS-12B_5,DS-12B,DS-12B,Defense,WP_152536314.1,WP_152536314.1,WP_152536314.1,1,DS-12__DS-12B,R7A2020_RS29245
ordered_protein_RM_Type_IIG_12,RM,RM_Type_IIG,Defense,WP_063827839.1,WP_063827839.1,WP_063827839.1,1,RM_Type_IIG__Type_IIG_FAM_1.einsi_trimmed,R7A2020_RS29435
ordered_protein_PD-Lambda-5_11,PD-Lambda-5,PD-Lambda-5,Defense,WP_027033204.1,WP_152536179.1,WP_027033204.1,2,"PD-Lambda-5__PD-Lambda-5_A,PD-Lambda-5__PD-Lambda-5_B",R7A2020_RS30375
ordered_protein_PD-Lambda-5_11,PD-Lambda-5,PD-Lambda-5,Defense,WP_027033204.1,WP_152536179.1,WP_152536179.1,2,"PD-Lambda-5__PD-Lambda-5_A,PD-Lambda-5__PD-Lambda-5_B",R7A2020_RS30380
ordered_protein_Mokosh_Type_I_C_9,Mokosh,Mokosh_Type_I_C,Defense,WP_152536216.1,WP_051371313.1,WP_152536216.1,2,"Mokosh_type_I__MkoA_C,Mokosh_type_I__MkoB_C",R7A2020_RS30910
ordered_protein_Mokosh_Type_I_C_9,Mokosh,Mokosh_Type_I_C,Defense,WP_152536216.1,WP_051371313.1,WP_051371313.1,2,"Mokosh_type_I__MkoA_C,Mokosh_type_I__MkoB_C",R7A2020_RS30915
