"","sys_id","type","subtype","activity","sys_beg","sys_end","protein_in_syst","genes_count","name_of_profiles_in_sys","Geneid"
"1","reordered_Abi2_1","Abi2","Abi2","Defense","WP_001822249.1","WP_001822249.1","WP_001822249.1",1,"Abi2__Abi_2","NWMN_RS02035"
"2","reordered_FS_Sma_4","FS_Sma","FS_Sma","Defense","WP_000041883.1","WP_000041883.1","WP_000041883.1",1,"FS_Sma__Sma","NWMN_RS02165"
"3","reordered_RM_Type_I_8","RM","RM_Type_I","Defense","WP_000028628.1","WP_000072584.1","WP_000028628.1",2,"RM__Type_I_MTases_FAM_0,RM__Type_I_S_51","NWMN_RS02255"
"4","reordered_RM_Type_I_8","RM","RM_Type_I","Defense","WP_000028628.1","WP_000072584.1","WP_000072584.1",2,"RM__Type_I_MTases_FAM_0,RM__Type_I_S_51","NWMN_RS02260"
"5","reordered_gcu233_5","gcu233","gcu233","Defense","WP_000633782.1","WP_000633782.1","WP_000633782.1",1,"gcu233__gcu233","NWMN_RS03280"
"6","reordered_RM_Type_I_9","RM","RM_Type_I","Defense","WP_000072576.1","WP_000028659.1","WP_000072576.1",2,"RM__Type_I_MTases_FAM_0,RM__Type_I_S_51","NWMN_RS09545"
"7","reordered_RM_Type_I_9","RM","RM_Type_I","Defense","WP_000072576.1","WP_000028659.1","WP_000028659.1",2,"RM__Type_I_MTases_FAM_0,RM__Type_I_S_51","NWMN_RS09550"
"8","reordered_AbiAlpha_2","AbiAlpha","AbiAlpha","Defense","WP_000371250.1","WP_000371250.1","WP_000371250.1",1,"AbiAlpha__AbiAlpha","NWMN_RS01535"
"9","reordered_AbiAlpha_2","AbiAlpha","AbiAlpha","Defense","WP_000371250.1","WP_000371250.1","WP_000371250.1",1,"AbiAlpha__AbiAlpha","NWMN_RS05640"
"10","reordered_AbiAlpha_2","AbiAlpha","AbiAlpha","Defense","WP_000371250.1","WP_000371250.1","WP_000371250.1",1,"AbiAlpha__AbiAlpha","NWMN_RS10355"
"11","reordered_Dodola_3","Dodola","Dodola","Defense","WP_000402465.1","WP_418356866.1","WP_000402465.1",2,"Dodola__DolA,Dodola__DolB","NWMN_RS12235"
"12","reordered_Dodola_3","Dodola","Dodola","Defense","WP_000402465.1","WP_418356866.1","WP_418356866.1",2,"Dodola__DolA,Dodola__DolB","NWMN_RS12240"
