gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NC_031281.1_1	96	512	417	1	0.731	11	GGAGG	GENOMAD.221111.VP	7.836e-72	237	0	0	0	7696	Charlievirus	NA	NA	PF09538;COG4338	Bacteriophage Lambda NinG protein
NC_031281.1_2	512	2044	1533	1	0.674	11	GGA/GAG/AGG	GENOMAD.001717.VV	9.838e-45	174	0	0	1	1246	Caudoviricetes	NA	NA	PF20441;PF03354;COG4626;TIGR01547	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
NC_031281.1_3	2079	2246	168	1	0.601	11	GGA/GAG/AGG	GENOMAD.073907.VV	4.595e-22	89	0	0	0	1246	Caudoviricetes	NA	NA	PF14438;COG1958;K04796	Small nuclear ribonucleoprotein (snRNP) homolog
NC_031281.1_4	2263	3552	1290	1	0.657	11	AGxAGG/AGGxGG	GENOMAD.167766.VP	6.476e-106	351	0	0	1	1246	Caudoviricetes	NA	NA	PF04860;TIGR01537;COG4695	phage portal protein, HK97 family
NC_031281.1_5	3555	4361	807	1	0.642	11	AGGAG	GENOMAD.087707.VV	2.143e-19	91	0	0	1	1246	Caudoviricetes	NA	NA	PF04586;PF04860;K06904;COG3740;TIGR01543	Phage head maturation protease
NC_031281.1_6	4389	5684	1296	1	0.672	11	AGGAG	GENOMAD.120938.VP	1.055e-61	222	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_7	5753	5980	228	1	0.636	11	GGA/GAG/AGG	GENOMAD.107412.VV	3.1e-35	128	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_8	5973	6458	486	1	0.702	11	None	GENOMAD.046275.VV	6.25e-26	106	0	0	0	1246	Caudoviricetes	NA	NA	TIGR02215	phage conserved hypothetical protein, phiE125 gp8 family
NC_031281.1_9	6455	6799	345	1	0.670	11	GGAG/GAGG	GENOMAD.093788.VV	1.089e-48	169	0	0	1	1246	Caudoviricetes	NA	NA	PF12206;COG5614	Minor capsid protein
NC_031281.1_10	6812	7009	198	1	0.707	11	AGGAG	GENOMAD.157779.VV	4.188e-35	127	0	0	0	7696	Charlievirus	NA	NA	NA	NA
NC_031281.1_11	6996	7367	372	1	0.669	11	3Base/5BMM	GENOMAD.059071.VV	3.011e-42	151	0	0	1	1246	Caudoviricetes	NA	NA	PF04883;TIGR01725;COG5005	Bacteriophage HK97-gp10, putative tail-component
NC_031281.1_12	7364	7783	420	1	0.662	11	GGAGG	GENOMAD.056736.VV	3.823e-47	166	0	0	1	4871	Gracegardnervirinae	NA	NA	PF23841	Phage tail termination protein
NC_031281.1_13	7899	8957	1059	1	0.663	11	AGGA	GENOMAD.062811.VV	5.206e-21	98	0	0	0	7192	Cheoctovirus	NA	NA	NA	NA
NC_031281.1_14	9057	9587	531	1	0.655	11	AGGA	GENOMAD.031132.VV	4.593e-16	78	0	0	1	7192	Cheoctovirus	NA	NA	PF04860;TIGR01537;COG5518	phage portal protein, HK97 family
NC_031281.1_15	9640	9963	324	1	0.648	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_031281.1_16	10145	13243	3099	1	0.706	11	None	GENOMAD.066573.VV	4.541e-162	541	0	0	1	7192	Cheoctovirus	NA	NA	COG3941	Phage tail tape-measure protein, controls tail length
NC_031281.1_17	13245	14966	1722	1	0.628	11	GGAGG	GENOMAD.049960.VV	3.649e-306	938	0	0	0	7192	Cheoctovirus	NA	NA	COG4722;TIGR01633	Phage-related protein
NC_031281.1_18	14966	16675	1710	1	0.625	11	AGGAG/GGAGG	GENOMAD.028626.VV	1.243e-316	968	0	0	0	7192	Cheoctovirus	NA	NA	PF14594	NA
NC_031281.1_19	16691	17533	843	1	0.676	11	GGAG/GAGG	GENOMAD.057415.VV	3.818e-141	445	0	0	0	7192	Cheoctovirus	NA	NA	NA	NA
NC_031281.1_20	17533	20178	2646	1	0.647	11	4Base/6BMM	GENOMAD.119295.VV	5.356e-201	649	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_21	20180	21217	1038	1	0.690	11	AGxAGG/AGGxGG	GENOMAD.025147.VV	1.305e-50	186	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_031281.1_22	21232	21384	153	1	0.575	11	AGGAG	GENOMAD.162401.VV	1.773e-21	87	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
