gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NC_025424.1_1	34	417	384	-1	0.328	11	GGAG/GAGG	GENOMAD.188822.VV	1.739e-82	267	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_2	445	765	321	-1	0.343	11	GGAG/GAGG	GENOMAD.132064.VV	5.523e-68	224	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_025424.1_3	1025	1288	264	-1	0.383	11	GGAG/GAGG	GENOMAD.116587.VP	4.419e-22	91	0	0	0	1246	Caudoviricetes	NA	NA	PF11195	NA
NC_025424.1_4	1288	1530	243	-1	0.395	11	AGGAG	GENOMAD.170819.VP	2.743e-16	74	0	0	0	2383	Lenusvirus	NA	NA	PF11195	NA
NC_025424.1_5	1669	1935	267	-1	0.386	11	GGAG/GAGG	GENOMAD.225270.VP	5.634e-51	174	0	0	0	6831	Wbetavirus	NA	NA	NA	NA
NC_025424.1_6	1928	2170	243	-1	0.325	11	AGGAG	GENOMAD.200903.VV	5.697e-47	162	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_7	2300	2476	177	-1	0.288	11	AGGA	GENOMAD.187587.VV	4.485e-31	115	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_8	3063	3686	624	-1	0.343	11	None	GENOMAD.224238.VP	2.9e-56	196	0	0	0	1246	Caudoviricetes	NA	NA	K24072	NA
NC_025424.1_9	3708	4031	324	-1	0.352	11	GGAG/GAGG	GENOMAD.222648.VP	5.238e-45	158	0	0	0	14634	Percyvirus	NA	NA	PF10782;PF18107	Zinc-finger; Fission yeast centromere protein N-terminal domain
NC_025424.1_10	4051	4581	531	-1	0.320	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_11	4612	4794	183	-1	0.333	11	GGA/GAG/AGG	GENOMAD.226929.VP	1.617e-34	125	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_12	4919	5296	378	-1	0.323	11	GGA/GAG/AGG	GENOMAD.138658.VV	3.019e-51	177	0	0	0	13140	Spbetavirus	NA	NA	NA	NA
NC_025424.1_13	5338	5562	225	-1	0.364	11	AGGA	GENOMAD.080369.VV	6.901e-27	104	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_025424.1_14	5612	5857	246	-1	0.289	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_15	6261	6434	174	-1	0.328	11	GGA/GAG/AGG	GENOMAD.149584.VV	5.585e-36	129	0	0	0	16145	Waukeshavirus waukesha92	NA	NA	PF08274;COG3877	NA
NC_025424.1_16	6459	6866	408	-1	0.355	11	GGAG/GAGG	GENOMAD.226147.VP	5.073e-34	128	0	0	0	10048	Caeruleovirus	NA	NA	NA	NA
NC_025424.1_17	6906	7079	174	-1	0.345	11	GGA/GAG/AGG	GENOMAD.225819.VP	3.276e-26	101	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_025424.1_18	7095	7394	300	-1	0.300	11	GGA/GAG/AGG	GENOMAD.160894.VP	1.435e-15	73	0	0	0	10237	Wphvirus	NA	NA	NA	NA
NC_025424.1_19	7528	8010	483	-1	0.340	11	AGGAG	GENOMAD.222825.VP	9.83e-97	310	0	0	0	1246	Caudoviricetes	NA	NA	PF07768	PVL ORF-50-like family
NC_025424.1_20	8032	8613	582	-1	0.349	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_21	8610	9062	453	-1	0.351	11	AGGAG	GENOMAD.222789.VP	1.718e-77	254	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_22	9062	9355	294	-1	0.367	11	GGA/GAG/AGG	GENOMAD.226157.VP	7.922e-52	177	0	0	0	1444	Waukeshavirus BMBtp3	NA	NA	PF13076	NA
NC_025424.1_23	9613	10080	468	-1	0.397	11	AGGAG	GENOMAD.223902.VP	8.914e-54	186	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_025424.1_24	10104	10460	357	-1	0.347	11	AGGA/GGAG/GAGG	GENOMAD.225984.VP	1.471e-63	212	0	0	0	8227	Bastillevirinae	NA	NA	NA	NA
NC_025424.1_25	10480	10863	384	-1	0.411	11	GGA/GAG/AGG	GENOMAD.224718.VP	1.146e-21	92	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_025424.1_26	10832	11335	504	-1	0.365	11	GGAG/GAGG	GENOMAD.225148.VP	7.468e-95	305	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_27	11481	11810	330	-1	0.352	11	GGA/GAG/AGG	GENOMAD.224858.VP	1.73e-49	171	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_28	11800	11979	180	-1	0.417	11	None	GENOMAD.157295.VV	2.257e-23	93	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_29	11979	12686	708	-1	0.340	11	GGA/GAG/AGG	GENOMAD.014438.VV	2.284e-72	244	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_025424.1_30	12710	13084	375	-1	0.336	11	AGGAG	GENOMAD.098635.VV	8.051e-16	75	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_025424.1_31	13096	13824	729	-1	0.351	11	AGGAG	GENOMAD.169909.VP	4.59e-08	56	0	0	0	1246	Caudoviricetes	NA	NA	PF10552;PF10543;COG3646	ORF6C domain; ORF6N domain
NC_025424.1_32	13891	14088	198	-1	0.323	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_33	14302	14652	351	1	0.359	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_34	14658	14840	183	-1	0.333	11	None	GENOMAD.141591.VV	5.308e-23	92	0	0	0	14657	Cecivirus	NA	NA	NA	NA
NC_025424.1_35	14947	15078	132	-1	0.341	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_36	15140	16345	1206	-1	0.295	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_37	17820	18347	528	1	0.343	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_38	18367	18711	345	1	0.380	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_39	19311	20414	1104	1	0.319	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_40	20438	21100	663	1	0.345	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_41	21383	22414	1032	1	0.365	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_42	22374	22706	333	1	0.321	11	GGA/GAG/AGG	GENOMAD.225189.VP	2.015e-64	214	0	0	0	1444	Waukeshavirus BMBtp3	NA	NA	NA	NA
NC_025424.1_43	22824	23204	381	1	0.349	11	GGAG/GAGG	GENOMAD.223049.VP	1.63e-74	244	0	0	0	14657	Cecivirus	NA	NA	NA	NA
NC_025424.1_44	23216	23746	531	1	0.343	11	GGAG/GAGG	GENOMAD.224527.VP	6.899e-117	369	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_45	23832	24065	234	1	0.350	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_46	24500	24784	285	1	0.323	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_47	25079	26014	936	-1	0.390	11	AGGAG	GENOMAD.225016.VP	4.609e-08	57	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_025424.1_48	26031	26261	231	-1	0.329	11	AGGAG	GENOMAD.224551.VP	2.933e-36	131	0	0	1	1246	Caudoviricetes	NA	NA	PF04688;TIGR01592	holin, SPP1 family
NC_025424.1_49	26304	26543	240	-1	0.362	11	AGGAG	GENOMAD.205908.VP	4.391e-26	102	0	0	0	1	NA	NA	NA	PF10779	Haemolysin XhlA
NC_025424.1_50	26559	27518	960	-1	0.344	11	AGGAG	GENOMAD.033175.VV	2.231e-113	367	0	0	0	1246	Caudoviricetes	NA	NA	PF12834;TIGR02225;COG4973	tyrosine recombinase XerD
NC_025424.1_51	27618	28070	453	-1	0.360	11	None	GENOMAD.146009.VP	4.639e-75	247	0	0	0	8227	Bastillevirinae	NA	NA	NA	NA
NC_025424.1_52	28045	31341	3297	-1	0.375	11	GGAG/GAGG	GENOMAD.099127.VP	8.81e-130	447	0	0	0	1246	Caudoviricetes	NA	NA	COG4926	Phage-related protein
NC_025424.1_53	31338	32816	1479	-1	0.366	11	GGA/GAG/AGG	GENOMAD.090257.VV	4.237e-290	887	0	0	1	1246	Caudoviricetes	NA	NA	PF05709;COG4722;TIGR01633	Phage tail protein
NC_025424.1_54	32829	35753	2925	-1	0.410	11	GGA/GAG/AGG	GENOMAD.181727.VP	4.964e-41	168	0	0	1	1246	Caudoviricetes	NA	NA	COG5280	Phage-related minor tail protein
NC_025424.1_55	35769	36044	276	-1	0.391	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_56	36080	36508	429	-1	0.326	11	AGGAG	GENOMAD.144150.VV	4.452e-88	284	0	0	0	1	NA	NA	NA	NA	NA
NC_025424.1_57	36555	37148	594	-1	0.365	11	GGA/GAG/AGG	GENOMAD.152150.VP	8.077e-109	347	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NC_025424.1_58	37163	37525	363	-1	0.342	11	GGAG/GAGG	GENOMAD.105012.VV	4.077e-78	254	0	0	1	1	NA	NA	NA	PF11367	NA
NC_025424.1_59	37531	37938	408	-1	0.426	11	GGAG/GAGG	GENOMAD.004022.VV	8.571e-20	87	0	0	1	1246	Caudoviricetes	NA	NA	PF11114;TIGR01725;COG5005	Minor capsid protein
NC_025424.1_60	37913	38257	345	-1	0.345	11	AGGA/GGAG/GAGG	GENOMAD.037187.VV	2.761e-06	47	0	0	1	1246	Caudoviricetes	NA	NA	PF05521;COG5614;TIGR01563	Bacteriophage head-tail adaptor
NC_025424.1_61	38254	38562	309	-1	0.353	11	GGA/GAG/AGG	GENOMAD.227839.VP	6.118e-65	215	0	0	0	1	NA	NA	NA	PF11436	NA
NC_025424.1_62	38613	39455	843	-1	0.374	11	AGGAG	GENOMAD.099136.VV	3.458e-107	347	0	0	1	1246	Caudoviricetes	NA	NA	PF19821;TIGR04387	Phage capsid protein
NC_025424.1_63	39473	40156	684	-1	0.387	11	AGGAG	GENOMAD.120798.VP	4.255e-42	156	0	0	0	1246	Caudoviricetes	NA	NA	PF14265	NA
NC_025424.1_64	40233	40505	273	-1	0.363	11	AGGA/GGAG/GAGG	GENOMAD.112664.VP	4.824e-15	71	0	0	0	1246	Caudoviricetes	NA	NA	PF11195	NA
NC_025424.1_65	40505	41338	834	-1	0.390	11	None	GENOMAD.003493.VV	1.703e-34	136	0	0	1	1246	Caudoviricetes	NA	NA	PF06152;COG5585;TIGR01641	NAD+--asparagine ADP-ribosyltransferase
NC_025424.1_66	41346	42779	1434	-1	0.365	11	AGGAG	GENOMAD.001191.VV	2.913e-85	293	0	0	1	1246	Caudoviricetes	NA	NA	PF05133;TIGR01538	phage portal protein, SPP1 family
NC_025424.1_67	42792	44066	1275	-1	0.358	11	GGAG/GAGG	GENOMAD.056179.VV	1.302e-114	376	0	0	1	1246	Caudoviricetes	NA	NA	PF04466;TIGR01547;COG1783;K06909	phage terminase, large subunit, PBSX family
NC_025424.1_68	44056	44970	915	-1	0.373	11	GGAG/GAGG	GENOMAD.180275.VP	1.182e-157	494	0	0	1	1246	Caudoviricetes	NA	NA	PF03592;PF10668;COG3728;K07474	Terminase small subunit; Phage terminase small subunit
NC_025424.1_69	45121	45333	213	-1	0.315	11	GGAG/GAGG	GENOMAD.224285.VP	4.104e-30	113	0	0	0	6831	Wbetavirus	NA	NA	NA	NA
NC_025424.1_70	45320	45646	327	-1	0.309	11	None	GENOMAD.155402.VV	1.222e-60	203	0	0	0	1	NA	NA	NA	NA	NA
